A,C,D
1.45561039871,2.66e45,2.35e44
0.943961802668,3.99e43,1.56e43
0.443117947778,3.69e44,1.90e44
2.37035343343,3.47e45,1.28e43
0.432794818208,5.48e43,4.06e43
1.42385546492,1.28e45,5.92e43
0.4931368634,6.45e44,4.22e43
 2.17553904188,9.77e43,8.90e43
2.27413362413,3.95e44,4.37e43
1.20239906714,5.36e44,4.45343
1.16142236702,2.81e43,5.23e43
0.632150222303,2.01e45,3.7e44
0.627928292003,8.19e45,7.33e44
1.21055925399,1.66e44,3.06e43
1.66032687567,7.28e44,5.35e43
1.61106959679,1.18e45,3.47e44
0.181643410115,1.78e44,1.52e44
1.2047872639,1.57e45,3.99e44
0.450552025315,2.07e45,4.85e44
0.682329661944,1.48e45,1.82e44
0.554828761293,1.12e45,6.22e43
1.12794428628,9.34e44,1.25e44
1.68375743285,6.98e44,1.16e44
6.34653333148,4.11e44,1.82e44
0.596994081561,4.19e45,5.80e44
3.01883910584,2.81e44,1.44e44
1.58256462262,2.93e45,5.11e44
1.28379206948,8.02e44,5.17e43
0.331009704156,7.05e44,1.77e44
0.697795156963,5.36e44,4.45e43
1.95465227099,1.91e45,4.41e44
1.4169151978,8.01e43,8.02e43
0.827122213264,1.63e45,9.07e43
0.721771974003,1.32e45,3.76e44
0.833613850681,1.01e45,5.54e43
0.14126056398,6.82e44,3.90e44
0.287050639008,1.58e44,3.66e43
0.434024824575,4.69e44,2.25e44
0.448946927675,6.73e44,6.35e44
1.09073229804,1.19e44,1.81e44
0.873560005998,8.45e44,4.69e43
0.616649650663,2.03e45,3.18e44
0.50143079945,2.26e44,2.27e44
1.5611320561,9.33e44,9.22e43
0.745743127466,1.98e45,1.96e44
0.181477770508,4.85e45,5.90e44
0.672253399877,2.94e44,1.17e44
19.5413509237,3.45e44,1.09e44
0.0920296593089,7.25e44,2.72e44
0.705397767442,1.59e45,1.18e44
0.825367001594,3.34e45,1.23e44
0.520885369986,1.19e45,2.87e44
0.22775747744,1.52e44,3.65e43
0.540812739668,9.22e45,4.57e44
0.802233356384,1.47e45,1.37e44
2.52098268696,2.43e44,2.69e43
1.73229470056,3.99e45,6.26e44
1.69165419711,1.34e46,1.15e45
0.728834335876,2.24e44,3.72e43
0.983127930931,1.83e45,2.75e44
0.816103340526,1.83e45,8.44e43
1.5485066399,1.57e45,7.28e43
1.60066188447,3.47e45,9.61e43
0.328553676262,4.96e44,9.64e43
1.94763077341,2.89e44,7.87e43
0.432688611582,1.76e45,1.63e44
0.905031373717,1.18e45,5.45e43
0.647546972241,1.82e44,3.36e43
0.578480314914,5.56e44,5.12e43
1.06284868099,9.08e44,5.85e43
0.199487105584,5.44e44,1.10e44
0.596811790569,8.59e44,3.95e43
0.560681857197,5.84e44,4.84e43
1.26145497517,2.07e45,7.69e43
1.74826265085,1.41e45,5.23e43
1.12718791783,3.38e44,3.12e43
0.516945194734,9.04e44,3.34e43
0.616203952843,1.32e43,5.22e43
0.401092312256,2.89e44,8.75e43
0.401092312256,6.62e44,2.14e44
,4.59e44,4.64e43
,2.73e44,3.28e43
,1.01e45,5.65e43
,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
