A,B,C,D
0.915703379139,2.49277780996,2.66e45,2.35e44
1.13295892839,2.68575962154,3.99e43,1.56e43
0.379168437895,1.79066934205,3.69e44,1.90e44
0.41596623869,1.19546316257,3.47e45,1.28e43
0.449153811947,2.17693616875,5.48e43,4.06e43
0.415650813008,1.02417408389,1.28e45,5.92e43
1.06123649786,2.4136630492,6.45e44,4.22e43
0.474634460186,1.15818718709,9.77e43,8.90e43
0.517322103995,1.66340003703,3.95e44,4.37e43
1.14826679211,1.83916260577,5.36e44,4.45343
1.60680945702,2.14286099306,2.81e43,5.23e43
0.236181574174,1.01904438953,2.01e45,3.7e44
0.53251179812,2.43306883978,8.19e45,7.33e44
0.647998605708,2.28144294808,1.66e44,3.06e43
0.602235807219,1.90961300153,7.28e44,5.35e43
1.14911118443,2.39441398752,1.18e45,3.47e44
1.77457510439,2.64786632486,1.78e44,1.52e44
0.689234934501,2.28006429397,1.57e45,3.99e44
0.555092529927,2.14592191081,2.07e45,4.85e44
0.26917397989,1.11634889105,1.48e45,1.82e44
2.42497687225,1.74809607987,1.12e45,6.22e43
0.303759998317,1.72836835856,9.34e44,1.25e44
0.577994431199,1.19201176548,6.98e44,1.16e44
0.959373404144,2.39228848622,4.11e44,1.82e44
1.44476485755,2.55343410489,4.19e45,5.80e44
0.609093821094,2.03681909742,2.81e44,1.44e44
0.485846506539,1.16066679288,2.93e45,5.11e44
2.69640347934,1.69339310778,8.02e44,5.17e43
0.528184693789,2.09593037433,7.05e44,1.77e44
0.918373639168,2.27191667596,5.36e44,4.45e43
1.10781082142,2.41919214479,1.91e45,4.41e44
0.795647207488,2.21058961404,8.01e43,8.02e43
0.535803070001,2.19196192826,1.63e45,9.07e43
0.517212441646,2.09066454814,1.32e45,3.76e44
0.31939431288,1.01732512327,1.01e45,5.54e43
0.791040017182,2.37147460721,6.82e44,3.90e44
0.572591772985,1.21933898672,1.58e44,3.66e43
0.479226518557,1.24959975144,4.69e44,2.25e44
0.295500686889,1.86610951026,6.73e44,6.35e44
0.56010773799,2.0734899893,1.19e44,1.81e44
0.69184881788,2.06276259389,8.45e44,4.69e43
0.299999280247,1.59036255343,2.03e45,3.18e44
0.227867350562,1.00629896014,2.26e44,2.27e44
1.11204143071,2.48945154076,9.33e44,9.22e43
0.964536601668,2.32198547498,1.98e45,1.96e44
0.579320082999,1.96165437837,4.85e45,5.90e44
0.509931966558,1.10453808261,2.94e44,1.17e44
0.21080308908,2.02724934709,3.45e44,1.09e44
0.718693029902,2.24048303879,7.25e44,2.72e44
0.544039010975,2.06281476609,1.59e45,1.18e44
0.562051507294,1.97753934178,3.34e45,1.23e44
36.0383980324,42.3645985928,1.19e45,2.87e44
0.382891083124,0.885374454647,1.52e44,3.65e43
0.555826496998,2.12557874879,9.22e45,4.57e44
1.18406979018,1.91566007581,1.47e45,1.37e44
0.611927403512,2.4537093423,2.43e44,2.69e43
0.394992605808,1.82531025605,3.99e45,6.26e44
0.989896519178,2.26137306406,1.34e46,1.15e45
1.73748457852,2.27078341222,2.24e44,3.72e43
0.29120187734,2.10728643055,1.83e45,2.75e44
 0.898365767707,2.61994870325,1.83e45,8.44e43
1.19531750297,2.4197356982,1.57e45,7.28e43
0.313031511404,1.0813323282,3.47e45,9.61e43
0.885826243009,2.27292284047,4.96e44,9.64e43
1.41109696621,2.70496938537,2.89e44,7.87e43
0.81001199515,2.15305329656,1.76e45,1.63e44
1.39412321357,2.91182637576,1.18e45,5.45e43
0.424347040772,1.90652029318,1.82e44,3.36e43
1.64277418516,2.76629857325,5.56e44,5.12e43
0.717315358168,2.12345663132,9.08e44,5.85e43
0.59145710978,1.27473771277,5.44e44,1.10e44
0.769330248985,2.41521633643,8.59e44,3.95e43
0.410739378138,1.92584358929,5.84e44,4.84e43
1.65744157121,2.21488466162,2.07e45,7.69e43
0.435216417993,1.16804487581,1.41e45,5.23e43
0.778897312652,2.07498854696,3.38e44,3.12e43
0.948926782089,2.42424195528,9.04e44,3.34e43
1.34539812712,2.50070888916,1.32e43,5.22e43
2.15854378814,2.07158648349,2.89e44,8.75e43
1.48638877345,2.92466508119,6.62e44,2.14e44
0.685808825704,2.24128897336,4.59e44,4.64e43
0.825946251618,2.13179165695,2.73e44,3.28e43
0.890310757566,2.35531028085,1.01e45,5.65e43
1.05338324841,2.43171358546,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
