A,B,C,D
0.411784390134,1.13807569206,2.66e45,2.35e44
1.07652909635,2.54964329353,3.99e43,1.56e43
0.34489344148,1.80565723965,3.69e44,1.90e44
0.290590871765,1.10406943431,3.47e45,1.28e43
0.319684970944,1.76770495149,5.48e43,4.06e43
0.50294939327,1.263780584,1.28e45,5.92e43
1.19595800775,2.54557521556,6.45e44,4.22e43
0.763753555315,1.30599736203,9.77e43,8.90e43
1.24410301871,2.43971162225,3.95e44,4.37e43
1.19381606994,2.67150888267,5.36e44,4.45343
0.570942676518,2.02901699056,2.81e43,5.23e43
0.153155494143,0.952811935944,2.01e45,3.7e44
0.394001219369,1.93413995733,8.19e45,7.33e44
0.740282374066,2.43744248517,1.66e44,3.06e43
0.649247162104,2.17501196631,7.28e44,5.35e43
0.881435616162,2.32718548683,1.18e45,3.47e44
0.383542809336,1.99149854352,1.78e44,1.52e44
0.87757053782,2.20245059119,1.57e45,3.99e44
0.366255634055,1.1308942785,2.07e45,4.85e44
0.411800196929,1.81446071702,1.48e45,1.82e44
0.543286517789,2.18795402481,1.12e45,6.22e43
0.478902159157,1.84455634218,9.34e44,1.25e44
1.06512633716,2.27147804042,6.98e44,1.16e44
0.703083100766,2.25612484893,4.11e44,1.82e44
0.990204685116,2.25523274851,4.19e45,5.80e44
1.12124802359,2.47857126034,2.81e44,1.44e44
0.792190458337,2.14673004083,2.93e45,5.11e44
1.10583809538,2.26670534395,8.02e44,5.17e43
0.468388320261,1.23320332027,7.05e44,1.77e44
0.417968429331,1.88652187198,5.36e44,4.45e43
0.768165442249,2.06223285744,1.91e45,4.41e44
0.403970419386,1.84750453231,8.01e43,8.02e43
0.886289248456,2.25110100541,1.63e45,9.07e43
0.460896997347,1.99599803784,1.32e45,3.76e44
0.666228435468,1.37272116886,1.01e45,5.54e43
0.594062390015,1.10299103302,6.82e44,3.90e44
1.51302978305,2.76442010892,1.58e44,3.66e43
0.499069519912,1.87208550147,4.69e44,2.25e44
0.747918536545,2.28501293585,6.73e44,6.35e44
0.180045860259,1.59909517227,1.19e44,1.81e44
0.776514506509,2.02035790101,8.45e44,4.69e43
0.94200107946,2.59103694028,2.03e45,3.18e44
0.759410813957,2.29321681098,2.26e44,2.27e44
0.965094325663,2.40521487415,9.33e44,9.22e43
0.45692909476,2.13609897227,1.98e45,1.96e44
0.982687062668,2.48125905672,4.85e45,5.90e44
0.829508118395,2.23212209372,2.94e44,1.17e44
1.17295705266,2.41024793855,3.45e44,1.09e44
0.723421192376,2.31895229106,7.25e44,2.72e44
0.651978901778,2.27301949933,1.59e45,1.18e44
0.568949301018,2.21498149013,3.34e45,1.23e44
0.940189421664,2.40309715366,1.19e45,2.87e44
0.428448353031,1.90121000276,1.52e44,3.65e43
1.25329980117,2.51626235361,9.22e45,4.57e44
0.728006028827,2.51636417307,1.47e45,1.37e44
0.314362608185,1.041615409,2.43e44,2.69e43
0.759760874964,2.16144007302,3.99e45,6.26e44
0.585899221309,2.05296091689,1.34e46,1.15e45
0.599250204948,2.1435243229,2.24e44,3.72e43
0.67807451047,1.15682645866,1.83e45,2.75e44
0.904523875991,2.32313444628,1.83e45,8.44e43
0.671128680236,2.18937594082,1.57e45,7.28e43
0.671128680236,0.606741296921,3.47e45,9.61e43
1.1148622729,1.40908095745,4.96e44,9.64e43
0.58510152793,2.33782302595,2.89e44,7.87e43
0.577944890931,1.26335999455,1.76e45,1.63e44
0.724813570502,2.2941532538,1.18e45,5.45e43
0.607668559247,2.16203911536,1.82e44,3.36e43
0.470267530599,2.29190049231,5.56e44,5.12e43
,,9.08e44,5.85e43
,,5.44e44,1.10e44
,,8.59e44,3.95e43
,,5.84e44,4.84e43
,,2.07e45,7.69e43
,,1.41e45,5.23e43
,,3.38e44,3.12e43
,,9.04e44,3.34e43
,,1.32e43,5.22e43
,,2.89e44,8.75e43
,,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
