A,B,C,D
0.534100960107,2.20721328002,2.66e45,2.35e44
0.544277380788,2.12035792523,3.99e43,1.56e43
0.497132752873,1.98731727972,3.69e44,1.90e44
0.41623580118,1.13654962294,3.47e45,1.28e43
0.731127176434,2.32302298,5.48e43,4.06e43
0.464139762298,1.16864410286,1.28e45,5.92e43
0.716236668466,2.29420642905,6.45e44,4.22e43
0.489555310583,1.12736649141,9.77e43,8.90e43
1.20410688648,2.27766990284,3.95e44,4.37e43
1.26195826138,1.99487010659,5.36e44,4.45343
0.690545366542,2.12280205881,2.81e43,5.23e43
0.709414201277,2.29138869246,2.01e45,3.7e44
0.551239022802,2.30870221411,8.19e45,7.33e44
0.419982897377,1.16633888567,1.66e44,3.06e43
0.620472157591,2.29706523994,7.28e44,5.35e43
0.502938393005,2.06273405584,1.18e45,3.47e44
0.820644770141,2.319308739,1.78e44,1.52e44
0.531517870433,2.16011858237,1.57e45,3.99e44
0.545861058557,2.12353716433,2.07e45,4.85e44
0.685899192635,1.39143079345,1.48e45,1.82e44
3.38035354332,2.03325174016,1.12e45,6.22e43
0.531991970489,2.13533496346,9.34e44,1.25e44
0.420954988534,1.88070828634,6.98e44,1.16e44
0.511643091895,2.18791119175,4.11e44,1.82e44
0.749859181358,2.48317348178,4.19e45,5.80e44
0.558485214283,2.08564455738,2.81e44,1.44e44
0.791105233923,1.97909487626,2.93e45,5.11e44
0.513791392362,2.09064302384,8.02e44,5.17e43
1.01591047043,2.58853429156,7.05e44,1.77e44
0.794100994584,2.2679070395,5.36e44,4.45e43
0.526744965299,2.19199510884,1.91e45,4.41e44
0.607103767705,2.1417228088,8.01e43,8.02e43
0.744102888997,2.13572724285,1.63e45,9.07e43
0.261177392494,1.23084528013,1.32e45,3.76e44
0.641920831872,2.16509124427,1.01e45,5.54e43
0.266303423928,1.13136815805,6.82e44,3.90e44
0.381818392816,1.1659031094,1.58e44,3.66e43
0.515325575674,2.17128802563,4.69e44,2.25e44
0.518960553641,2.00006156738,6.73e44,6.35e44
0.787101118822,2.05877922051,1.19e44,1.81e44
0.530989195453,2.05885850874,8.45e44,4.69e43
0.74285855821,2.35527769547,2.03e45,3.18e44
0.656394533907,2.23552589431,2.26e44,2.27e44
0.472881803545,2.03017718745,9.33e44,9.22e43
0.205481231065,1.19064442437,1.98e45,1.96e44
0.942472225536,2.29470418828,4.85e45,5.90e44
0.524764690268,2.04510261243,2.94e44,1.17e44
0.396884094449,1.96229514922,3.45e44,1.09e44
5.61837742936,46.4333509452,7.25e44,2.72e44
0.445297486776,1.91482238389,1.59e45,1.18e44
0.793243573949,2.37421923977,3.34e45,1.23e44
0.707443260674,2.13017449748,1.19e45,2.87e44
0.688906212058,2.02683658976,1.52e44,3.65e43
0.80549861236,2.21985774734,9.22e45,4.57e44
1.32905305501,2.61451570389,1.47e45,1.37e44
0.512342188712,2.01012052222,2.43e44,2.69e43
0.845991391534,2.28949030267,3.99e45,6.26e44
0.972262913378,2.46318074355,1.34e46,1.15e45
0.743441726524,2.03486287012,2.24e44,3.72e43
0.788477927958,2.22475350087,1.83e45,2.75e44
0.905076326843,2.31273732904,1.83e45,8.44e43
0.639546035717,2.18982429828,1.57e45,7.28e43
0.943547942829,2.45955417819,3.47e45,9.61e43
0.797874278315,2.5198153327,4.96e44,9.64e43
0.660476881904,2.07808260166,2.89e44,7.87e43
0.4318028434,2.02791477425,1.76e45,1.63e44
0.476853529557,1.16794261636,1.18e45,5.45e43
0.764590255095,2.03350511337,1.82e44,3.36e43
0.85599848732,2.04415451733,5.56e44,5.12e43
0.760703039244,2.14223607305,9.08e44,5.85e43
0.40142662705,1.0846966586,5.44e44,1.10e44
0.450715833865,2.12954933714,8.59e44,3.95e43
0.654735099008,2.40081295091,5.84e44,4.84e43
0.646706937419,2.34218310164,2.07e45,7.69e43
1.39440260009,2.52898823103,1.41e45,5.23e43
0.598097730849,2.1887187206,3.38e44,3.12e43
0.468889198274,1.83683577399,9.04e44,3.34e43
0.782743501945,2.23434461283,1.32e43,5.22e43
0.500959470129,2.15743701416,2.89e44,8.75e43
0.722117876694,2.21114142556,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
