A,C,D
0.783238250496,2.66e45,2.35e44
1.91005349201,3.99e43,1.56e43
0.0430599293613,3.69e44,1.90e44
0.0825136888195,3.47e45,1.28e43
0.418695369789,5.48e43,4.06e43
0.105249436338,1.28e45,5.92e43
0.639179998971,6.45e44,4.22e43
0.11635376855,9.77e43,8.90e43
1.62911435303,3.95e44,4.37e43
0.992124260985,5.36e44,4.45343
1.61047820847,2.81e43,5.23e43
0.0331338746695,2.01e45,3.7e44
0.479907260564,8.19e45,7.33e44
0.507826675173,1.66e44,3.06e43
3.59411657572,7.28e44,5.35e43
1.8302102174,1.18e45,3.47e44
3.70562601252,1.78e44,1.52e44
0.960969278232,1.57e45,3.99e44
0.276273062426,2.07e45,4.85e44
0.103355861017,1.48e45,1.82e44
1.28606896718,1.12e45,6.22e43
0.19706228008,9.34e44,1.25e44
0.462994064804,6.98e44,1.16e44
0.972193424393,4.11e44,1.82e44
2.37536923601,4.19e45,5.80e44
0.183977235834,2.81e44,1.44e44
0.206263431466,2.93e45,5.11e44
3.69275807658,8.02e44,5.17e43
0.515598942241,7.05e44,1.77e44
0.878771300738,5.36e44,4.45e43
1.66551937223,1.91e45,4.41e44
0.342615264672,8.01e43,8.02e43
0.0805334340935,1.63e45,9.07e43
0.182517416566,1.32e45,3.76e44
0.0353013241689,1.01e45,5.54e43
0.505105708275,6.82e44,3.90e44
0.274081512404,1.58e44,3.66e43
0.408392836705,4.69e44,2.25e44
0.129243756101,6.73e44,6.35e44
0.592435994096,1.19e44,1.81e44
0.239073472886,8.45e44,4.69e43
0.0822001844274,2.03e45,3.18e44
0.0489114216185,2.26e44,2.27e44
1.15557498638,9.33e44,9.22e43
0.824755951046,1.98e45,1.96e44
0.309149001398,4.85e45,5.90e44
0.192068283617,2.94e44,1.17e44
1.39539932508,3.45e44,1.09e44
0.186391948129,7.25e44,2.72e44
0.145732969927,1.59e45,1.18e44
0.246534134702,3.34e45,1.23e44
21.3706431248,1.19e45,2.87e44
1.85777204771,1.52e44,3.65e43
0.209066579996,9.22e45,4.57e44
2.95716543988,1.47e45,1.37e44
2.56438059782,2.43e44,2.69e43
0.113511365588,3.99e45,6.26e44
1.92492269835,1.34e46,1.15e45
3.73971616512,2.24e44,3.72e43
1.88236144006,1.83e45,2.75e44
1.68238097956,1.83e45,8.44e43
1.95910159862,1.57e45,7.28e43
0.214844762405,3.47e45,9.61e43
0.908732474602,4.96e44,9.64e43
2.88303708027,2.89e44,7.87e43
0.587025047104,1.76e45,1.63e44
3.0952665125,1.18e45,5.45e43
0.161633027774,1.82e44,3.36e43
3.11669238865,5.56e44,5.12e43
0.717315358168,9.08e44,5.85e43
0.607640324527,5.44e44,1.10e44
1.53766021765,8.59e44,3.95e43
0.198962294816,5.84e44,4.84e43
0.918929393545,2.07e45,7.69e43
0.21297666765,1.41e45,5.23e43
0.108969117589,3.38e44,3.12e43
0.937580047341,9.04e44,3.34e43
2.8077014538,1.32e43,5.22e43
2.59851131509,2.89e44,8.75e43
4.40995989067,6.62e44,2.14e44
0.707020789562,4.59e44,4.64e43
0.214623666924,2.73e44,3.28e43
2.05219810951,1.01e45,5.65e43
1.33778218988,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
