A,C,D
0.240217125942,2.66e45,2.35e44
2.17564225499,3.99e43,1.56e43
0.0552224916228,3.69e44,1.90e44
0.0604432454283,3.47e45,1.28e43
0.0707385271941,5.48e43,4.06e43
0.205222857821,1.28e45,5.92e43
1.02310405814,6.45e44,4.22e43
0.649839115457,9.77e43,8.90e43
1.26585074078,3.95e44,4.37e43
0.636987213481,5.36e44,4.45343
0.225056877951,2.81e43,5.23e43
0.044261724984,2.01e45,3.7e44
0.232791440342,8.19e45,7.33e44
4.85363382929,1.66e44,3.06e43
0.288245632415,7.28e44,5.35e43
1.55234727321,1.18e45,3.47e44
0.5239284335,1.78e44,1.52e44
0.863101775652,1.57e45,3.99e44
0.133561312347,2.07e45,4.85e44
0.0708834379645,1.48e45,1.82e44
0.335052196376,1.12e45,6.22e43
0.0808115387367,9.34e44,1.25e44
0.790583529892,6.98e44,1.16e44
0.504931654832,4.11e44,1.82e44
1.29405331898,4.19e45,5.80e44
1.01175509276,2.81e44,1.44e44
0.35492366331,2.93e45,5.11e44
0.212886722751,8.02e44,5.17e43
1.1185624071,7.05e44,1.77e44
0.269053931993,5.36e44,4.45e43
0.129243756101,1.91e45,4.41e44
0.239073472886,8.01e43,8.02e43
0.0822001844274,1.63e45,9.07e43
0.665044645566,1.32e45,3.76e44
0.507966009092,1.01e45,5.54e43
0.563996503569,6.82e44,3.90e44
0.163160878731,1.58e44,3.66e43
2.01600959491,4.69e44,2.25e44
0.225192700082,6.73e44,6.35e44
0.472437330133,1.19e44,1.81e44
12.3765293412,8.45e44,4.69e43
0.109112530726,2.03e45,3.18e44
0.533826592419,2.26e44,2.27e44
3.39109813584,9.33e44,9.22e43
0.936754908439,1.98e45,1.96e44
0.914929903525,4.85e45,5.90e44
0.189938620992,2.94e44,1.17e44
1.17552518116,3.45e44,1.09e44
0.864374154428,7.25e44,2.72e44
1.51233143734,1.59e45,1.18e44
0.495328645544,3.34e45,1.23e44
0.421703240413,1.19e45,2.87e44
0.256531765324,1.52e44,3.65e43
1.59761525873,9.22e45,4.57e44
0.0897329060257,1.47e45,1.37e44
1.8141092605,2.43e44,2.69e43
0.884513363004,3.99e45,6.26e44
0.0877676085772,1.34e46,1.15e45
0.349549300451,2.24e44,3.72e43
0.106267496123,1.83e45,2.75e44
0.297730458193,1.83e45,8.44e43
0.225297292588,1.57e45,7.28e43
0.741172868027,3.47e45,9.61e43
0.269529966619,4.96e44,9.64e43
0.90608870096,2.89e44,7.87e43
1.23667345308,1.76e45,1.63e44
0.259238428962,1.18e45,5.45e43
0.380197135416,1.82e44,3.36e43
0.393662105617,5.56e44,5.12e43
0.683897270303,9.08e44,5.85e43
0.34612281467,5.44e44,1.10e44
,8.59e44,3.95e43
,5.84e44,4.84e43
,2.07e45,7.69e43
,1.41e45,5.23e43
,3.38e44,3.12e43
,9.04e44,3.34e43
,1.32e43,5.22e43
,2.89e44,8.75e43
,6.62e44,2.14e44
,4.59e44,4.64e43
,2.73e44,3.28e43
,1.01e45,5.65e43
,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
