A,C,D
2.62463083285,2.66e45,2.35e44
2.51065024417,3.99e43,1.56e43
0.114183105571,3.69e44,1.90e44
0.129539295655,3.47e45,1.28e43
0.115154754129,5.48e43,4.06e43
0.117424606437,1.28e45,5.92e43
0.978607654578,6.45e44,4.22e43
0.847419791925,9.77e43,8.90e43
3.51067382306,3.95e44,4.37e43
12.0917794476,5.36e44,4.45343
4.25943293439,2.81e43,5.23e43
1.2659503864,2.01e45,3.7e44
0.23082063085,8.19e45,7.33e44
1.08637192389,1.66e44,3.06e43
4.21856397584,7.28e44,5.35e43
1.48022007361,1.18e45,3.47e44
3.0233556767,1.78e44,1.52e44
0.31287661021,1.57e45,3.99e44
0.186868802344,2.07e45,4.85e44
0.273018835877,1.48e45,1.82e44
0.247042607266,1.12e45,6.22e43
0.0966774574473,9.34e44,1.25e44
1.37807846987,6.98e44,1.16e44
0.775541129989,4.11e44,1.82e44
0.665576708251,4.19e45,5.80e44
4.32758673095,2.81e44,1.44e44
0.69547297396,2.93e45,5.11e44
2.57614409083,8.02e44,5.17e43
3.81836309958,7.05e44,1.77e44
1.47863373118,5.36e44,4.45e43
3.11313587594,1.91e45,4.41e44
0.416703316617,8.01e43,8.02e43
0.0866682748398,1.63e45,9.07e43
0.284866450036,1.32e45,3.76e44
0.510672546751,1.01e45,5.54e43
0.560143439523,6.82e44,3.90e44
0.720619204354,1.58e44,3.66e43
0.803198972342,4.69e44,2.25e44
0.959552711287,6.73e44,6.35e44
0.121836923783,1.19e44,1.81e44
0.379385513725,8.45e44,4.69e43
0.280059730029,2.03e45,3.18e44
0.090493529548,2.26e44,2.27e44
0.702631217978,9.33e44,9.22e43
0.351632247605,1.98e45,1.96e44
0.10517929661,4.85e45,5.90e44
1.20303712048,2.94e44,1.17e44
58.8009429603,3.45e44,1.09e44
0.231784276651,7.25e44,2.72e44
0.174375244967,1.59e45,1.18e44
0.0843090024455,3.34e45,1.23e44
28.7800396196,1.19e45,2.87e44
1.88695030011,1.52e44,3.65e43
0.297828530838,9.22e45,4.57e44
2.03666399792,1.47e45,1.37e44
2.73013238889,2.43e44,2.69e43
0.80772454528,3.99e45,6.26e44
0.33913061733,1.34e46,1.15e45
1.96583081582,2.24e44,3.72e43
1.98167066521,1.83e45,2.75e44
0.489230032873,1.83e45,8.44e43
1.78347383255,1.57e45,7.28e43
0.164495914197,3.47e45,9.61e43
1.37004518079,4.96e44,9.64e43
0.618152847313,2.89e44,7.87e43
0.286408568185,1.76e45,1.63e44
1.05543194473,1.18e45,5.45e43
3.3798447496,1.82e44,3.36e43
6.52397200177,5.56e44,5.12e43
0.304581493398,9.08e44,5.85e43
0.364720378386,5.44e44,1.10e44
3.4354517004,8.59e44,3.95e43
0.363129664647,5.84e44,4.84e43
2.03249063337,2.07e45,7.69e43
0.47069691593,1.41e45,5.23e43
0.159460433558,3.38e44,3.12e43
0.23398297777,9.04e44,3.34e43
1.34163861603,1.32e43,5.22e43
4.6360638814,2.89e44,8.75e43
0.450389807634,6.62e44,2.14e44
0.772784978711,4.59e44,4.64e43
1.25047624899,2.73e44,3.28e43
2.43634308633,1.01e45,5.65e43
1.82410104458,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
