A,B,C,D
0.0135265663589,0.0086608696291,2.66e45,2.35e44
0.0176993342442,0.0097977515707,3.99e43,1.56e43
0.24305011435,0.294363281217,3.69e44,1.90e44
0.0161395311429,0.0234484628302,3.47e45,1.28e43
0.027365656821,0.0141485265761,5.48e43,4.06e43
0.142690771856,0.147907672424,1.28e45,5.92e43
0.0389197850247,0.0259204591541,6.45e44,4.22e43
0.0326035829961,0.0326392813922,9.77e43,8.90e43
0.0218306812524,0.0112987861679,3.95e44,4.37e43
0.00717020712306,0.00356994743576,5.36e44,4.45343
0.0463322047042,0.0292085880604,2.81e43,5.23e43
0.019183450612,0.0161687601619,2.01e45,3.7e44
0.0467726529155,0.0615801002927,8.19e45,7.33e44
0.0264834100711,0.0216879550287,1.66e44,3.06e43
0.0118483348493,0.00559055888857,7.28e44,5.35e43
0.0132846583346,0.0103325730291,1.18e45,3.47e44
0.0329347928549,0.0179111253509,1.78e44,1.52e44
0.019327901857,0.0264666456476,1.57e45,3.99e44
0.0419468493707,0.0273436543888,2.07e45,4.85e44
0.0105460587646,0.0111576436469,1.48e45,1.82e44
0.00946358543643,0.0099224259849,1.12e45,6.22e43
0.0274497617563,0.0353691985045,9.34e44,1.25e44
0.0215834764764,0.0237010765339,6.98e44,1.16e44
0.0321107213939,0.0211521887474,4.11e44,1.82e44
0.111889175857,0.0229494889606,4.19e45,5.80e44
0.0349475872337,0.0386903899071,2.81e44,1.44e44
0.00860176447331,0.00608522683878,2.93e45,5.11e44
0.0569059656679,0.0347599741287,8.02e44,5.17e43
0.0128313622492,0.011219691771,7.05e44,1.77e44
0.0114194319399,0.00874610058807,5.36e44,4.45e43
0.0116139195652,0.00657175099372,1.91e45,4.41e44
0.0105722473419,0.00677580542935,8.01e43,8.02e43
0.0165894685291,0.0117804192797,1.63e45,9.07e43
0.0134336051982,0.0179767407994,1.32e45,3.76e44
0.00702751202681,0.0052672061263,1.01e45,5.54e43
0.016431512774,0.0145201951506,6.82e44,3.90e44
0.00867293396628,0.00620658056514,1.58e44,3.66e43
0.0577577729822,0.0675100899746,4.69e44,2.25e44
0.0216993687506,0.0268495303765,6.73e44,6.35e44
0.0480085850889,0.0563060268854,1.19e44,1.81e44
0.0121172185305,0.00968222435556,8.45e44,4.69e43
0.0254465395293,0.0277639541462,2.03e45,3.18e44
0.0585976863979,0.0586153798986,2.26e44,2.27e44
0.0367322644408,0.0447032234168,9.33e44,9.22e43
0.0443300012371,0.0391078212367,1.98e45,1.96e44
0.0791949604063,0.109418459643,4.85e45,5.90e44
0.0214294744144,0.0259688158255,2.94e44,1.17e44
0.0351269480783,0.0329641989639,3.45e44,1.09e44
0.0110846245875,0.00489398578786,7.25e44,2.72e44
0.0930625531725,0.0946913133946,1.59e45,1.18e44
0.0619898460299,0.0770186901023,3.34e45,1.23e44
0.0480205568863,0.062353105066,1.19e45,2.87e44
0.112449881913,0.0688706969655,1.52e44,3.65e43
0.0280587237642,0.0466057593192,9.22e45,4.57e44
0.0536895314328,0.0428303677676,1.47e45,1.37e44
0.0795567811441,0.0906480523147,2.43e44,2.69e43
0.143319127542,0.071517383448,3.99e45,6.26e44
0.0174324816377,0.0104956067893,1.34e46,1.15e45
0.00755914775713,0.00613922882802,2.24e44,3.72e43
0.0332395500378,0.0294225717763,1.83e45,2.75e44
0.00956033470795,0.00610977595359,1.83e45,8.44e43
0.0175606054267,0.0204832671825,1.57e45,7.28e43
0.0103933625553,0.00784563274754,3.47e45,9.61e43
0.00969099784011,0.00611873127899,4.96e44,9.64e43
0.0354142338606,0.0535436732431,2.89e44,7.87e43
0.0336482772828,0.0261218911207,1.76e45,1.63e44
0.0293256690715,0.0368829545919,1.18e45,5.45e43
0.0295713052408,0.0183503641308,1.82e44,3.36e43
0.0230776149138,0.0227904167553,5.56e44,5.12e43
0.0448759313152,0.0527895937598,9.08e44,5.85e43
0.0260117985338,0.0240109280855,5.44e44,1.10e44
0.0292917377904,0.0390548945869,8.59e44,3.95e43
0.15246157216,0.15506982401,5.84e44,4.84e43
0.037422114676,0.0228495310791,2.07e45,7.69e43
0.0438628887118,0.0329529116842,1.41e45,5.23e43
0.0245173171879,0.0124656791831,3.38e44,3.12e43
0.106895419946,0.0917794650003,9.04e44,3.34e43
0.0181959998928,0.0162658557374,1.32e43,5.22e43
0.0317595181465,0.0432040128373,2.89e44,8.75e43
0.0383020236223,0.025454690358,6.62e44,2.14e44
0.00895953530121,0.0117955923888,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
