A,B,C,D
0.00640178219214,0.00409984241257,2.66e45,2.35e44
0.0158171835304,0.00912897866779,3.99e43,1.56e43
0.221103491588,0.283364977801,3.69e44,1.90e44
0.00872595400327,0.00875129001947,3.47e45,1.28e43
0.012006886515,0.00748628577429,5.48e43,4.06e43
0.18462710982,0.272375182643,1.28e45,5.92e43
0.0282425517714,0.0379130091321,6.45e44,4.22e43
0.0206013968071,0.0242313875669,9.77e43,8.90e43
0.0142048053089,0.00705816950057,3.95e44,4.37e43
0.00387565604931,0.00335670160345,5.36e44,4.45343
0.0114919625001,0.00555007179327,2.81e43,5.23e43
0.011641760222,0.0124071183761,2.01e45,3.7e44
0.0277657178058,0.0397389706538,8.19e45,7.33e44
0.0177236513124,0.0158192044175,1.66e44,3.06e43
0.0108169797322,0.00561328974291,7.28e44,5.35e43
0.0136209388323,0.0130310050115,1.18e45,3.47e44
0.0150321792337,0.0134571884932,1.78e44,1.52e44
0.0130962068864,0.01652030997,1.57e45,3.99e44
0.0610850361676,0.0738462415678,2.07e45,4.85e44
0.00764368616774,0.0104558547831,1.48e45,1.82e44
0.0155925022691,0.0209718126447,1.12e45,6.22e43
0.0155261276621,0.0234675016724,9.34e44,1.25e44
0.00923014426422,0.00607788130775,6.98e44,1.16e44
0.0167304683153,0.0215193351161,4.11e44,1.82e44
0.0155096675574,0.0191355970456,4.19e45,5.80e44
0.0120823982937,0.00611140616061,2.81e44,1.44e44
0.0113781742751,0.0104221010283,2.93e45,5.11e44
0.00759053778702,0.0250143684524,8.02e44,5.17e43
0.0276025115539,0.0270429246155,7.05e44,1.77e44
0.00672875535898,0.00510768590433,5.36e44,4.45e43
0.00812148866592,0.00466023963535,1.91e45,4.41e44
0.0065872488568,0.0111622815493,8.01e43,8.02e43
0.0104057884579,0.0117845461552,1.63e45,9.07e43
0.0162842437054,0.0276716474209,1.32e45,3.76e44
0.00537582529301,0.004343310642,1.01e45,5.54e43
0.00746446718142,0.00767645186644,6.82e44,3.90e44
0.00345863515676,0.00244472216604,1.58e44,3.66e43
0.00857796470262,0.00826024502822,4.69e44,2.25e44
0.00708638686728,0.00488521481084,6.73e44,6.35e44
0.0312732778748,0.0431410959184,1.19e44,1.81e44
0.0196476632208,0.0251345130438,8.45e44,4.69e43
0.0209599638555,0.0262889513347,2.03e45,3.18e44
0.0932642817587,0.0980487652403,2.26e44,2.27e44
0.002800250423,0.00368391222273,9.33e44,9.22e43
0.0457152883898,0.0725578403878,1.98e45,1.96e44
0.0717196624417,0.0901196108979,4.85e45,5.90e44
0.0220881940252,0.0134296038227,2.94e44,1.17e44
0.0221597529262,0.00936278653271,3.45e44,1.09e44
0.0378585287425,0.0514795342514,7.25e44,2.72e44
0.00829863489976,0.0126631221049,1.59e45,1.18e44
0.0303017660899,0.0300668622262,3.34e45,1.23e44
0.0106053266911,0.00457327461121,1.19e45,2.87e44
0.0291323637876,0.0137356628319,1.52e44,3.65e43
0.0449678013167,0.0636952897222,9.22e45,4.57e44
0.0138197571328,0.00762383134739,1.47e45,1.37e44
0.0615374683673,0.0473732740906,2.43e44,2.69e43
0.0240061101028,0.0312337579344,3.99e45,6.26e44
0.0730758721636,0.0872677303138,1.34e46,1.15e45
0.0392523002853,0.0262219925136,2.24e44,3.72e43
0.102007430252,0.0894271832099,1.83e45,2.75e44
0.0160152059795,0.0220856298701,1.83e45,8.44e43
0.00616590050561,0.00505720431739,1.57e45,7.28e43
0.023553015726,0.0356371088616,3.47e45,9.61e43
0.00582096510254,0.00507041957643,4.96e44,9.64e43
0.0130531384624,0.0160221332665,2.89e44,7.87e43
0.00445049698154,0.00432966093257,1.76e45,1.63e44
0.0113250631093,0.0122171682853,1.18e45,5.45e43
0.0131161105929,0.00897223400291,1.82e44,3.36e43
0.0161449473661,0.00931067767344,5.56e44,5.12e43
0.0206247886954,0.0179050575991,9.08e44,5.85e43
0.0195708935664,0.0191574079172,5.44e44,1.10e44
0.010585421104,0.00761105940972,8.59e44,3.95e43
0.0415979557683,0.0534811758457,5.84e44,4.84e43
0.0209506970172,0.0192235712378,2.07e45,7.69e43
0.0159269107525,0.0174048129298,1.41e45,5.23e43
0.146826248379,0.173100077659,3.38e44,3.12e43
0.041325239178,0.0597763590935,9.04e44,3.34e43
0.0151797121187,0.0154050005599,1.32e43,5.22e43
0.0135861198193,0.00789580589596,2.89e44,8.75e43
0.071000304307,0.105261902719,6.62e44,2.14e44
0.0176093551105,0.0215471159565,4.59e44,4.64e43
0.0158263793915,0.00826095677279,2.73e44,3.28e43
0.0306911028853,0.0182985258694,1.01e45,5.65e43
0.00574003318697,0.00406334544928,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
