A,B,C,D
0.0112963624337,0.0118609238811,2.66e45,2.35e44
0.0224748912666,0.0128129829111,3.99e43,1.56e43
0.206401389576,0.269515334819,3.69e44,1.90e44
0.0137417088367,0.017775660213,3.47e45,1.28e43
0.0320520152581,0.0412311923529,5.48e43,4.06e43
0.253407239354,0.31059143936,1.28e45,5.92e43
0.0468873175417,0.0447543036375,6.45e44,4.22e43
0.0222616215445,0.0185867525542,9.77e43,8.90e43
0.0194924740526,0.0117853104435,3.95e44,4.37e43
0.00850955625864,0.00481842914605,5.36e44,4.45343
0.0267672826542,0.0148235133761,2.81e43,5.23e43
0.0174291725695,0.0293379819175,2.01e45,3.7e44
0.0346284500808,0.0422533194676,8.19e45,7.33e44
0.0215284944274,0.0205393397606,1.66e44,3.06e43
0.0118022858453,0.0176258145139,7.28e44,5.35e43
0.0105561742012,0.0100346499119,1.18e45,3.47e44
0.0225346542715,0.0131572184487,1.78e44,1.52e44
0.0128293691048,0.0170902883533,1.57e45,3.99e44
0.0557116304641,0.0617822933913,2.07e45,4.85e44
0.0120554507216,0.0177687657116,1.48e45,1.82e44
0.0084802129428,0.0059155012549,1.12e45,6.22e43
0.0187104617006,0.0266400114589,9.34e44,1.25e44
 0.0187104617006,0.0266400114589,6.98e44,1.16e44
0.00651682724282,0.006273724215,4.11e44,1.82e44
0.023465251983,0.0245793775897,4.19e45,5.80e44
0.0201992147893,0.0168931833309,2.81e44,1.44e44
0.0114208143833,0.0123710539809,2.93e45,5.11e44
0.0188484923687,0.026580693151,8.02e44,5.17e43
0.009386021022,0.00404264795658,7.05e44,1.77e44
0.0622280490561,0.0784669971401,5.36e44,4.45e43
0.00837708522646,0.0114125940542,1.91e45,4.41e44
0.0132538635995,0.0107102152784,8.01e43,8.02e43
0.00707665211383,0.0101545683189,1.63e45,9.07e43
0.0133624105466,0.0159133036428,1.32e45,3.76e44
0.0152428660743,0.0148741724623,1.01e45,5.54e43
0.00881395965686,0.0143775194427,6.82e44,3.90e44
0.00757318006073,0.0100158851949,1.58e44,3.66e43
0.00552941998927,0.00520350633199,4.69e44,2.25e44
0.00978648255959,0.00917954043817,6.73e44,6.35e44
0.00677284668435,0.00871571312166,1.19e44,1.81e44
0.050359740082,0.058355285105,8.45e44,4.69e43
0.032558007415,0.0404393033421,2.03e45,3.18e44
0.0327105985363,0.0475697608545,2.26e44,2.27e44
0.135050813337,0.149363815765,9.33e44,9.22e43
0.00495537058676,0.0058370472113,1.98e45,1.96e44
0.0367823988982,0.0437704361511,4.85e45,5.90e44
0.108443177677,0.123709529203,2.94e44,1.17e44
0.0341259195888,0.0407300147847,3.45e44,1.09e44
0.0286752342963,0.0261222251961,7.25e44,2.72e44
0.055650488304,0.0671419188554,1.59e45,1.18e44
0.0127457578439,0.0242834596286,3.34e45,1.23e44
0.0417824919177,0.0458174618756,1.19e45,2.87e44
0.0119001768932,0.00539172634547,1.52e44,3.65e43
0.0320784776059,0.0523631000318,9.22e45,4.57e44
0.0518253924898,0.0628130126563,1.47e45,1.37e44
0.0273124209774,0.0174621798187,2.43e44,2.69e43
0.102248343798,0.0670299121938,3.99e45,6.26e44
0.0387519643596,0.0497194683358,1.34e46,1.15e45
0.0293932584087,0.0242730053463,2.24e44,3.72e43
0.0519773026261,0.0236989665937,1.83e45,2.75e44
0.178184581231,0.157799036948,1.83e45,8.44e43
0.0152882564493,0.0199172095266,1.57e45,7.28e43
0.00528241351953,0.00430751195254,3.47e45,9.61e43
0.0324114272198,0.03639594801,4.96e44,9.64e43
0.00815094794316,0.00814165145936,2.89e44,7.87e43
0.0121496024309,0.0124950736685,1.76e45,1.63e44
0.0055133027439,0.00437529921488,1.18e45,5.45e43
0.00930575894395,0.00801062693592,1.82e44,3.36e43
0.0273132323034,0.0442803989271,5.56e44,5.12e43
0.0295333699507,0.0170898130581,9.08e44,5.85e43
0.03051134198,0.0364543151742,5.44e44,1.10e44
0.0236186392106,0.0215954147251,8.59e44,3.95e43
0.0251036111008,0.0127928583449,5.84e44,4.84e43
0.0436955804974,0.0500042258015,2.07e45,7.69e43
0.0216001536214,0.0141755818934,1.41e45,5.23e43
0.016528629067,0.0240937596798,3.38e44,3.12e43
0.190892179084,0.217516914733,9.04e44,3.34e43
0.0386302974558,0.0388730134966,1.32e43,5.22e43
0.0391119329451,0.0237530469414,2.89e44,8.75e43
0.0183847556995,0.00978943768004,6.62e44,2.14e44
0.106862038773,0.0969572001397,4.59e44,4.64e43
0.017548210703,0.0184141583959,2.73e44,3.28e43
0.0285461503138,0.0349907277292,1.01e45,5.65e43
0.0456485083228,0.0288550315314,2.20e45,8.13e43
0.00836898889042,0.00779248502587,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
