A,B,C,D
0.0359107940642,0.0455382861192,2.66e45,2.35e44
0.0482230158145,0.0395687504013,3.99e43,1.56e43
0.404977353491,0.606288569127,3.69e44,1.90e44
0.0251068232939,0.0334397092436,3.47e45,1.28e43
0.0890014765539,0.134068661981,5.48e43,4.06e43
0.242631053927,0.280949745754,1.28e45,5.92e43
0.106573803141,0.0807051090732,6.45e44,4.22e43
0.0513935059997,0.0376459864635,9.77e43,8.90e43
0.0296868582559,0.0203217846244,3.95e44,4.37e43
0.0117392831605,0.00850646263191,5.36e44,4.45343
0.0326707949887,0.0536035156343,2.81e43,5.23e43
0.0376400137764,0.0670845196113,2.01e45,3.7e44
0.0995614709784,0.102050518299,8.19e45,7.33e44
0.02632832122,0.0140094081135,1.66e44,3.06e43
0.0224374606578,0.0243255711046,7.28e44,5.35e43
0.0405070735306,0.0340889664174,1.18e45,3.47e44
0.0311942569966,0.0417499436301,1.78e44,1.52e44
0.058584521809,0.0583335440671,1.57e45,3.99e44
0.0325523652015,0.0492025997075,2.07e45,4.85e44
0.0271537087905,0.0318625140569,1.48e45,1.82e44
0.0375471802525,0.0555182078775,1.12e45,6.22e43
0.0217515947434,0.0290799241418,9.34e44,1.25e44
0.119432336316,0.121535904394,6.98e44,1.16e44
0.0200149052398,0.0242927729341,4.11e44,1.82e44
0.0244019553463,0.0195588473996,4.19e45,5.80e44
0.0172108766886,0.0158275126545,2.81e44,1.44e44
0.0213605549121,0.0275986819638,2.93e45,5.11e44
0.0302280663971,0.028238413769,8.02e44,5.17e43
0.0139054331727,0.0143332777548,7.05e44,1.77e44
0.0249835719827,0.0250460427157,5.36e44,4.45e43
0.0157201347853,0.0177453252813,1.91e45,4.41e44
0.0432272725309,0.0528792058546,8.01e43,8.02e43
0.0761827623297,0.131673830733,1.63e45,9.07e43
0.0591288185966,0.0510434577482,1.32e45,3.76e44
0.208180372953,0.2840568071,1.01e45,5.54e43
0.0687098729719,0.0938797367247,6.82e44,3.90e44
0.0695619975993,0.0777589195925,1.58e44,3.66e43
0.09478591388,0.0744623485476,4.69e44,2.25e44
0.0193727214212,0.0196318999405,6.73e44,6.35e44
0.0815324483085,0.0954652813107,1.19e44,1.81e44
0.0113917702392,0.00516708854625,8.45e44,4.69e43
0.0885346782132,0.0943209744536,2.03e45,3.18e44
0.043876529931,0.0601937727253,2.26e44,2.27e44
0.177188481197,0.126229738266,9.33e44,9.22e43
0.0290804408695,0.0344934268672,1.98e45,1.96e44
0.0594673136166,0.0721284544187,4.85e45,5.90e44
0.105228323682,0.110284987858,2.94e44,1.17e44
0.266259757099,0.252987424801,3.45e44,1.09e44
0.0324871916083,0.035796508039,7.25e44,2.72e44
0.0137406197815,0.0177408572612,1.59e45,1.18e44
0.0232045160552,0.039560080273,3.34e45,1.23e44
0.0114533721929,0.00813212529988,1.19e45,2.87e44
0.0249534897401,0.0237234030112,1.52e44,3.65e43
0.0532835574372,0.0775953227033,9.22e45,4.57e44
0.0763952878966,0.0587590544299,1.47e45,1.37e44
0.0310185397494,0.0421113824087,2.43e44,2.69e43
0.0519826182455,0.0590192739235,3.99e45,6.26e44
0.0262401409862,0.0253433243615,1.34e46,1.15e45
0.0971406314701,0.102652280144,2.24e44,3.72e43
0.04524613569,0.0603641408975,1.83e45,2.75e44
0.0266275870507,0.023201453265,1.83e45,8.44e43
0.173716175013,0.165606727,1.57e45,7.28e43
0.0688205606614,0.0877106085344,3.47e45,9.61e43
0.0621928809536,0.0468984786759,4.96e44,9.64e43
0.0206362538466,0.0133000139594,2.89e44,7.87e43
0.122797494941,0.167878056536,1.76e45,1.63e44
0.0281197042149,0.031794292911,1.18e45,5.45e43
0.0211819087236,0.0344239733802,1.82e44,3.36e43
0.0420169433011,0.033024776279,5.56e44,5.12e43
0.0193049070504,0.0232547325195,9.08e44,5.85e43
,,5.44e44,1.10e44
,,8.59e44,3.95e43
,,5.84e44,4.84e43
,,2.07e45,7.69e43
,,1.41e45,5.23e43
,,3.38e44,3.12e43
,,9.04e44,3.34e43
,,1.32e43,5.22e43
,,2.89e44,8.75e43
,,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
