A,B,C,D
0.00234570489796,0.00340148858321,2.66e45,2.35e44
0.0206438215298,0.0347434139818,3.99e43,1.56e43
0.14180534825,0.20698788565,3.69e44,1.90e44
0.00427672062573,0.00609030379794,3.47e45,1.28e43
0.00504509661386,0.0051097399854,5.48e43,4.06e43
0.101042759556,0.151480083274,1.28e45,5.92e43
0.00724984931508,0.0125294538819,6.45e44,4.22e43
0.00792361228152,0.0130752296155,9.77e43,8.90e43
0.0166554103248,0.0126166774129,3.95e44,4.37e43
0.00474957350143,0.0047103969396,5.36e44,4.45343
0.00961237579193,0.0135488326665,2.81e43,5.23e43
0.00482687551559,0.0119054901093,2.01e45,3.7e44
0.0149179687472,0.0282943518786,8.19e45,7.33e44
0.020458923579,0.0295349833623,1.66e44,3.06e43
0.0111711141209,0.0185466377319,7.28e44,5.35e43
0.0144203279344,0.0186712516313,1.18e45,3.47e44
0.00410351101571,0.00544482232925,1.78e44,1.52e44
0.0124785191281,0.0218376030433,1.57e45,3.99e44
0.0486271135363,0.0645469002581,2.07e45,4.85e44
0.00267782542512,0.00466704769054,1.48e45,1.82e44
0.00810920000042,0.0080005616299,1.12e45,6.22e43
0.0154451562877,0.0223626816065,9.34e44,1.25e44
0.0123195072011,0.0166537664213,6.98e44,1.16e44
0.00306950768986,0.00954452421219,4.11e44,1.82e44
0.01389324536,0.0235407862816,4.19e45,5.80e44
0.01389324536,0.0235407862816,2.81e44,1.44e44
0.0067989162649,0.0145450187629,2.93e45,5.11e44
0.00985549778561,0.0122451398371,8.02e44,5.17e43
0.0123321880302,0.0184991031633,7.05e44,1.77e44
0.0108646186755,0.0112549502053,5.36e44,4.45e43
0.005443880102,0.00737228713373,1.91e45,4.41e44
0.00209426220007,0.00369866650635,8.01e43,8.02e43
0.0105132729265,0.0142615838502,1.63e45,9.07e43
0.00891620170742,0.0138241856193,1.32e45,3.76e44
0.00421117256215,0.00530777269732,1.01e45,5.54e43
0.00922962128583,0.0140978050954,6.82e44,3.90e44
0.00736440937058,0.0130012995809,1.58e44,3.66e43
0.00656974071119,0.0110424623927,4.69e44,2.25e44
0.0110424623927,0.00470228597818,6.73e44,6.35e44
0.0159301551974,0.0287108768127,1.19e44,1.81e44
0.0198125901101,0.0262051707711,8.45e44,4.69e43
0.016909853018,0.0201336586317,2.03e45,3.18e44
0.00248307016921,0.00377037551894,2.26e44,2.27e44
0.0216847034873,0.0300628127239,9.33e44,9.22e43
0.052733360692,0.076073955769,1.98e45,1.96e44
0.0151205505313,0.0184345802766,4.85e45,5.90e44
0.0350755283898,0.0500418170039,2.94e44,1.17e44
0.0106660658785,0.0169281317371,3.45e44,1.09e44
0.0220449881074,0.0293037529495,7.25e44,2.72e44
0.00796956098338,0.00846926015846,1.59e45,1.18e44
0.0381754079155,0.0576608524703,3.34e45,1.23e44
0.0111906442682,0.0135380308939,1.19e45,2.87e44
0.0471249279419,0.0710708454298,1.52e44,3.65e43
0.0205210969828,0.0303220225897,9.22e45,4.57e44
0.0235734013091,0.0313758167159,1.47e45,1.37e44
0.0357504397459,0.0296347456097,2.43e44,2.69e43
0.111835458487,0.14293370165,3.99e45,6.26e44
0.0163684305089,0.0226232002653,1.34e46,1.15e45
0.00349116833872,0.00625411903495,2.24e44,3.72e43
0.0205791203833,0.0303586632131,1.83e45,2.75e44
0.00399011141866,0.00582835693576,1.83e45,8.44e43
0.0118995452472,0.0185665968515,1.57e45,7.28e43
0.00442299983384,0.00555206725313,3.47e45,9.61e43
0.00813596110105,0.00906340745115,4.96e44,9.64e43
0.00336943722872,0.00361695246004,2.89e44,7.87e43
0.00932740683244,0.0139112951396,1.76e45,1.63e44
0.0327600052131,0.0444409872913,1.18e45,5.45e43
0.0209828434352,0.0313085707056,1.82e44,3.36e43
0.0109295573302,0.0125126817654,5.56e44,5.12e43
0.0333672608243,0.0406538962524,9.08e44,5.85e43
0.0181403720987,0.0239861818754,5.44e44,1.10e44
0.0150186801558,0.0249560082619,8.59e44,3.95e43
0.0424605856318,0.0589725682049,5.84e44,4.84e43
0.0262358406527,0.0313049591624,2.07e45,7.69e43
0.00256090505445,0.0044761004864,1.41e45,5.23e43
0.00873210448539,0.00597829111792,3.38e44,3.12e43
0.0921463100927,0.11866240439,9.04e44,3.34e43
0.0192754147168,0.0206491798707,1.32e43,5.22e43
 0.0252934771338,0.0298445749903,2.89e44,8.75e43
0.0240454234713,0.0244066891064,6.62e44,2.14e44
0.00097578482492,0.0036824805765,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
