A,B,C,D
130.202315927,1.94962663854,2.66e45,2.35e44
149.906769515,2.9182058012,3.99e43,1.56e43
105.10450014,1.73655985443,3.69e44,1.90e44
98.7179902652,1.61817345754,3.47e45,1.28e43
125.08947746,2.48590314417,5.48e43,4.06e43
87.6630656849,1.85892141408,1.28e45,5.92e43
87.2936690686,2.13580221911,6.45e44,4.22e43
127.47236906,1.73291800458,9.77e43,8.90e43
127.449660365,2.29400917308,3.95e44,4.37e43
135.415959646,2.1309840655,5.36e44,4.45343
108.173489795,2.52985943909,2.81e43,5.23e43
101.057148456,2.10684960335,2.01e45,3.7e44
103.470655598,2.08617717884,8.19e45,7.33e44
100.57597302,1.76524395179,1.66e44,3.06e43
149.282667002,2.40229708479,7.28e44,5.35e43
135.54588888,2.21651768727,1.18e45,3.47e44
65.13084136,1.8066523732,1.78e44,1.52e44
160.199001421,3.0530809716,1.57e45,3.99e44
112.908715709,2.34308765448,2.07e45,4.85e44
117.786018854,1.73286060106,1.48e45,1.82e44
166.444608372,2.80643175001,1.12e45,6.22e43
91.563931227,1.74622222923,9.34e44,1.25e44
121.327412845,1.75396303655,6.98e44,1.16e44
114.224625789,2.93438463233,4.11e44,1.82e44
11.4036720654,1.61119525525,4.19e45,5.80e44
88.1767102064,1.80187213822,2.81e44,1.44e44
140.936177195,2.4559238188,2.93e45,5.11e44
120.900638548,1.82889180429,8.02e44,5.17e43
134.788222851,1.71812530821,7.05e44,1.77e44
116.876447832,2.13323174311,5.36e44,4.45e43
130.833114935,2.2455856241,1.91e45,4.41e44
135.028287878,2.99230045495,8.01e43,8.02e43
114.295519191,2.85962424605,1.63e45,9.07e43
162.373387762,1.70956421095,1.32e45,3.76e44
106.612696635,1.96845921804,1.01e45,5.54e43
108.937633323,1.8628222305,6.82e44,3.90e44
119.102896264,3.12687507836,1.58e44,3.66e43
116.056144307,1.93196092464,4.69e44,2.25e44
140.883506561,1.96940087924,6.73e44,6.35e44
117.941800729,1.75148263269,1.19e44,1.81e44
116.227187073,2.41770140549,8.45e44,4.69e43
111.469344735,2.70417583541,2.03e45,3.18e44
110.19565035,2.02800632368,2.26e44,2.27e44
114.965387719,1.76971408513,9.33e44,9.22e43
122.496410302,2.31085225488,1.98e45,1.96e44
120.325297781,1.62161631622,4.85e45,5.90e44
148.826464907,2.80303121502,2.94e44,1.17e44
130.225055654,2.03321372888,3.45e44,1.09e44
262.52652396,2.48683045357,7.25e44,2.72e44
114.865087145,2.64951020942,1.59e45,1.18e44
159.847903216,1.59079683599,3.34e45,1.23e44
62.3279918567,1.64188681991,1.19e45,2.87e44
109.335338247,2.21061461927,1.52e44,3.65e43
123.276934583,2.86843724152,9.22e45,4.57e44
112.524767771,2.27718709127,1.47e45,1.37e44
104.313460197,1.82470937714,2.43e44,2.69e43
113.442915048,1.80553482412,3.99e45,6.26e44
133.151339757,2.07257025472,1.34e46,1.15e45
98.5272824763,1.79932918381,2.24e44,3.72e43
105.857995225,1.97132986776,1.83e45,2.75e44
102.929584014,2.77103741618,1.83e45,8.44e43
138.219053222,1.88763924462,1.57e45,7.28e43
130.564146671,1.87797237969,3.47e45,9.61e43
262.777953639,2.19096253671,4.96e44,9.64e43
121.125522556,1.77137560293,2.89e44,7.87e43
101.75023925,2.06525413472,1.76e45,1.63e44
100.952530475,1.66280853909,1.18e45,5.45e43
91.2962261947,1.90234645505,1.82e44,3.36e43
118.548070679,1.6353324554,5.56e44,5.12e43
100.190161895,1.67382981876,9.08e44,5.85e43
114.289305411,1.71988489065,5.44e44,1.10e44
115.138407315,2.09102770739,8.59e44,3.95e43
93.1840013116,1.79507737242,5.84e44,4.84e43
124.917344055,2.42517405447,2.07e45,7.69e43
98.4336803566,2.09799358711,1.41e45,5.23e43
117.941504815,1.71711267622,3.38e44,3.12e43
79.302025457,2.3185719321,9.04e44,3.34e43
142.622397587,2.06066563754,1.32e43,5.22e43
125.12240504,1.57147462246,2.89e44,8.75e43
101.864754072,1.80994766317,6.62e44,2.14e44
125.64601555,1.64012032319,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
