A,B,C,D
154.399354779,1.82977971978,2.66e45,2.35e44
150.212161079,2.29855129533,3.99e43,1.56e43
109.16860392,1.64157030372,3.69e44,1.90e44
117.03844569,1.66191521809,3.47e45,1.28e43
131.885923823,1.70273827672,5.48e43,4.06e43
94.4468180006,1.60018704846,1.28e45,5.92e43
102.201247441,1.72138012083,6.45e44,4.22e43
133.644247703,1.61954232393,9.77e43,8.90e43
122.880141986,2.85362797907,3.95e44,4.37e43
125.49359891,2.30501450419,5.36e44,4.45343
115.575280015,3.12088954362,2.81e43,5.23e43
96.1240721962,1.88145207324,2.01e45,3.7e44
127.602538386,1.87168137906,8.19e45,7.33e44
109.954746892,1.79596738577,1.66e44,3.06e43
152.709658002,3.19629506858,7.28e44,5.35e43
132.538366472,2.13347433475,1.18e45,3.47e44
104.92043409,2.0252470025,1.78e44,1.52e44
166.146616486,1.94812653077,1.57e45,3.99e44
137.986398031,1.57030883685,2.07e45,4.85e44
116.624728616,1.63236856582,1.48e45,1.82e44
164.310608871,1.9204221209,1.12e45,6.22e43
129.123536368,1.77676824872,9.34e44,1.25e44
106.599550386,1.95637423508,6.98e44,1.16e44
132.337080925,1.9411936748,4.11e44,1.82e44
125.136068793,1.86231483525,4.19e45,5.80e44
140.673804739,1.74120079914,2.81e44,1.44e44
109.218394905,1.65111777369,2.93e45,5.11e44
142.991843459,2.40695528686,8.02e44,5.17e43
108.754940935,1.68020588992,7.05e44,1.77e44
147.972350933,1.660855373,5.36e44,4.45e43
121.084781644,1.65920737324,1.91e45,4.41e44
148.529707334,1.70531333463,8.01e43,8.02e43
158.854119973,1.71628660428,1.63e45,9.07e43
127.670153542,1.75000467355,1.32e45,3.76e44
108.112994363,2.06052395006,1.01e45,5.54e43
179.607859719,1.74032723318,6.82e44,3.90e44
114.334612478,1.94507667925,1.58e44,3.66e43
105.300263104,1.7225046495,4.69e44,2.25e44
149.95463012,2.07063516013,6.73e44,6.35e44
132.296113499,1.82677743157,1.19e44,1.81e44
160.43909008,1.54279970779,8.45e44,4.69e43
119.43447611,1.74603045845,2.03e45,3.18e44
108.271261666,1.57994351014,2.26e44,2.27e44
139.675007549,1.64566914688,9.33e44,9.22e43
150.164233683,1.78145343004,1.98e45,1.96e44
119.527432297,1.75250599992,4.85e45,5.90e44
129.45142719,1.71657514496,2.94e44,1.17e44
128.180931522,2.70039686707,3.45e44,1.09e44
118.879130313,1.51737900984,7.25e44,2.72e44
165.788756899,1.75536287859,1.59e45,1.18e44
142.610883415,1.69130378288,3.34e45,1.23e44
306.959601695,2.2246118372,1.19e45,2.87e44
111.242193065,2.45834260606,1.52e44,3.65e43
158.278091119,1.56155666235,9.22e45,4.57e44
110.405206088,3.15636196965,1.47e45,1.37e44
117.326510706,2.29980482614,2.43e44,2.69e43
145.675396449,1.62865639651,3.99e45,6.26e44
103.608234505,1.80606967491,1.34e46,1.15e45
95.8545826767,2.1374581855,2.24e44,3.72e43
106.811777563,2.43232670276,1.83e45,2.75e44
151.843720588,1.99932209468,1.83e45,8.44e43
101.706020108,2.07487372068,1.57e45,7.28e43
115.051335748,1.75254824573,3.47e45,9.61e43
118.638810117,1.71297296265,4.96e44,9.64e43
144.766432299,1.91585963786,2.89e44,7.87e43
151.831031846,1.70679199186,1.76e45,1.63e44
279.736000079,1.9613224687,1.18e45,5.45e43
120.083330839,1.70978923929,1.82e44,3.36e43
114.219733005,114.219733005,5.56e44,5.12e43
118.094154784,1.61683952412,9.08e44,5.85e43
117.118201473,1.71299520056,5.44e44,1.10e44
72.1583967613,2.36341156866,8.59e44,3.95e43
120.250194795,1.54464725425,5.84e44,4.84e43
105.04606048,2.54992277984,2.07e45,7.69e43
116.978320652,1.64225136622,1.41e45,5.23e43
90.275393654,1.70286724557,3.38e44,3.12e43
110.590782996,1.75306031262,9.04e44,3.34e43
101.190162643,1.86306479474,1.32e43,5.22e43
109.244385631,2.11886492427,2.89e44,8.75e43
71.1702265972,2.3070906438,6.62e44,2.14e44
158.449948662,1.78212874413,4.59e44,4.64e43
137.917820127,1.54720611234,2.73e44,3.28e43
106.39387779,2.39875040038,1.01e45,5.65e43
119.673019795,2.1254036496,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
