A,B,C,D
141.824068915,3.04049654093,2.66e45,2.35e44
151.780280831,2.57459144247,3.99e43,1.56e43
92.6146599874,1.64189105391,3.69e44,1.90e44
110.824485425,2.39495279961,3.47e45,1.28e43
112.537535475,2.83336884595,5.48e43,4.06e43
82.6536216174,1.61335301303,1.28e45,5.92e43
90.3900986776,1.86814391883,6.45e44,4.22e43
115.311502957,2.15309424862,9.77e43,8.90e43
120.670277704,2.9457682354,3.95e44,4.37e43
128.871745744,2.02260417871,5.36e44,4.45343
133.232825294,3.0913725272,2.81e43,5.23e43
105.613103809,2.95366966168,2.01e45,3.7e44
119.352667488,1.60415472159,8.19e45,7.33e44
105.764053269,1.92724850887,1.66e44,3.06e43
137.818424572,2.19714193957,7.28e44,5.35e43
127.747533166,1.83914588841,1.18e45,3.47e44
94.4952133031,2.87186362529,1.78e44,1.52e44
163.973034104,1.56627670396,1.57e45,3.99e44
107.659455238,1.52580050274,2.07e45,4.85e44
106.402032356,1.66293612934,1.48e45,1.82e44
191.654030711,1.66908318041,1.12e45,6.22e43
122.684015571,1.93819920001,9.34e44,1.25e44
79.6808134385,2.35158228291,6.98e44,1.16e44
113.158142093,2.41531769618,4.11e44,1.82e44
124.083039063,1.58319904209,4.19e45,5.80e44
103.324195767,2.84989504094,2.81e44,1.44e44
93.0814581203,1.65242090797,2.93e45,5.11e44
142.991843459,2.40695528686,8.02e44,5.17e43
119.52573807,3.34389441551,7.05e44,1.77e44
127.089446451,1.92286312382,5.36e44,4.45e43
114.236083137,3.04772803094,1.91e45,4.41e44
130.414648061,1.60112018283,8.01e43,8.02e43
158.669322496,1.73263067964,1.63e45,9.07e43
119.799947351,1.57656340103,1.32e45,3.76e44
100.223296457,3.07292006231,1.01e45,5.54e43
163.474968388,1.99181904999,6.82e44,3.90e44
105.780301771,2.63057724479,1.58e44,3.66e43
96.1410301619,1.89606026514,4.69e44,2.25e44
115.708116109,2.63504141462,6.73e44,6.35e44
114.448466236,1.59826552144,1.19e44,1.81e44
147.676885812,2.34053781645,8.45e44,4.69e43
110.270267168,1.66056794975,2.03e45,3.18e44
95.7004521329,2.00128401504,2.26e44,2.27e44
125.946150056,1.62080743583,9.33e44,9.22e43
131.956183373,1.65759089005,1.98e45,1.96e44
114.847625119,1.5002349743,4.85e45,5.90e44
118.982831208,1.93420382893,2.94e44,1.17e44
127.313709356,1.96640262865,3.45e44,1.09e44
107.139994637,1.54606642104,7.25e44,2.72e44
159.235245859,1.83876875317,1.59e45,1.18e44
125.963944853,1.66743403542,3.34e45,1.23e44
325.682353962,2.22319122972,1.19e45,2.87e44
109.216010684,2.1073115731,1.52e44,3.65e43
144.245696712,1.61711429805,9.22e45,4.57e44
128.700878316,3.06703622296,1.47e45,1.37e44
116.350057787,2.30296822985,2.43e44,2.69e43
131.888559835,2.10132271024,3.99e45,6.26e44
114.424177945,2.72468172394,1.34e46,1.15e45
114.137993732,1.71283716935,2.24e44,3.72e43
103.098445644,1.85309499856,1.83e45,2.75e44
139.491236184,1.70976258731,1.83e45,8.44e43
103.800253519,1.90247115192,1.57e45,7.28e43
107.887504602,1.61912251218,3.47e45,9.61e43
115.073453781,1.8134913777,4.96e44,9.64e43
130.991654391,1.61026302518,2.89e44,7.87e43
139.909863081,1.88431957827,1.76e45,1.63e44
258.353909965,1.7157147366,1.18e45,5.45e43
106.595740807,2.16887895568,1.82e44,3.36e43
96.0485971941,2.43360817292,5.56e44,5.12e43
119.202722678,1.81316369666,9.08e44,5.85e43
103.00195261,1.82402660201,5.44e44,1.10e44
110.483401471,2.17519268256,8.59e44,3.95e43
76.9173599274,3.80618845972,5.84e44,4.84e43
99.5502639116,2.09875273522,2.07e45,7.69e43
117.632896015,1.78895666816,1.41e45,5.23e43
94.0190633796,1.67489456433,3.38e44,3.12e43
117.162653009,1.5564080843,9.04e44,3.34e43
95.3800941105,1.68862495461,1.32e43,5.22e43
94.6143262933,2.08421108089,2.89e44,8.75e43
79.8075016896,2.16890405764,6.62e44,2.14e44
144.270284897,2.26905325533,4.59e44,4.64e43
114.551376834,2.61918152273,2.73e44,3.28e43
109.263898204,1.8134845386,1.01e45,5.65e43
111.50977621,2.3504028973,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
