A,B,C,D
106.092217615,1.78934023697,2.66e45,2.35e44
114.110141926,1.73836393785,3.99e43,1.56e43
67.1157424766,1.65279534791,3.69e44,1.90e44
71.6722330187,1.58376219469,3.47e45,1.28e43
90.909547311,1.73903223062,5.48e43,4.06e43
38.1239400537,1.80862884603,1.28e45,5.92e43
41.8833005655,1.71412839469,6.45e44,4.22e43
82.6870479573,1.68201751084,9.77e43,8.90e43
85.5219771552,1.87950702776,3.95e44,4.37e43
114.461894701,2.20185601693,5.36e44,4.45343
69.4326236976,1.67376627348,2.81e43,5.23e43
61.4131055867,1.96565093013,2.01e45,3.7e44
55.4930250011,1.67727844468,8.19e45,7.33e44
113.929572134,3.37754778221,1.66e44,3.06e43
47.9972537228,1.74622838825,7.28e44,5.35e43
65.13084136,1.8066523732,1.18e45,3.47e44
113.431623778,1.85529281107,1.78e44,1.52e44
64.8878193344,1.98786750355,1.57e45,3.99e44
64.1025136273,1.45333105548,2.07e45,4.85e44
93.7880915195,1.8701776852,1.48e45,1.82e44
78.8440222151,1.69249240249,1.12e45,6.22e43
57.3749111497, 1.55465317887,9.34e44,1.25e44
74.3495281115,1.6696358582,6.98e44,1.16e44
69.092579013,1.66828964888,4.11e44,1.82e44
71.4070876774,1.71643218375,4.19e45,5.80e44
82.3451320683,1.72094232394,2.81e44,1.44e44
93.5223543183,1.57933938938,2.93e45,5.11e44
74.8358867829,1.9451044938,8.02e44,5.17e43
100.546046277,1.86716853781,7.05e44,1.77e44
53.352733216,1.70288257097,5.36e44,4.45e43
75.5628775997,1.92967943533,1.91e45,4.41e44
114.678430385,1.70368046065,8.01e43,8.02e43
64.2410445385,2.17351344373,1.63e45,9.07e43
58.5346880785,1.71342446506,1.32e45,3.76e44
74.1909829096,1.77933383891,1.01e45,5.54e43
67.854540043,2.05781604736,6.82e44,3.90e44
115.239858869,1.69379949906,1.58e44,3.66e43
57.5721459676,1.81373131546,4.69e44,2.25e44
97.6116705402,1.70069437735,6.73e44,6.35e44
89.4879044422,1.71376951088,1.19e44,1.81e44
230.115877161,2.62946301964,8.45e44,4.69e43
109.463109626,1.44097974182,2.03e45,3.18e44
62.443745479,1.61034586592,2.26e44,2.27e44
77.6907944494,1.90499057604,9.33e44,9.22e43
95.3666599217,1.67223883168,1.98e45,1.96e44
52.9529492346,1.58354736338,4.85e45,5.90e44
50.845828775,1.59712587144,2.94e44,1.17e44
43.5808383886,1.86337505497,3.45e44,1.09e44
105.317998489,1.60340594057,7.25e44,2.72e44
44.0422969367,1.66400871538,1.59e45,1.18e44
77.1441873104,1.65444428777,3.34e45,1.23e44
99.2708722986,1.62582840808,1.19e45,2.87e44
88.910094016,1.64906069527,1.52e44,3.65e43
163.598557455,1.73896053231,9.22e45,4.57e44
58.1301438016,1.86643754005,1.47e45,1.37e44
65.8130403382,1.76897765926,2.43e44,2.69e43
26.8886038743,1.5238543296,3.99e45,6.26e44
50.6859008151,1.64890733167,1.34e46,1.15e45
74.5014105969,1.63721732408,2.24e44,3.72e43
57.0229220095,1.63631340174,1.83e45,2.75e44
54.7987174165,1.59780387993,1.83e45,8.44e43
84.1315964154,1.86996996976,1.57e45,7.28e43
59.4847603185,1.67162095932,3.47e45,9.61e43
78.6665710034,1.61318633324,4.96e44,9.64e43
49.8455203669,1.77136082143,2.89e44,7.87e43
87.5933725645,1.80247123319,1.76e45,1.63e44
52.6311674054,1.57296894803,1.18e45,5.45e43
107.43310055,1.8742772029,1.82e44,3.36e43
44.0774247414,1.46747068059,5.56e44,5.12e43
67.5957562621,1.5000051186,9.08e44,5.85e43
87.2277143907,1.71089924554,5.44e44,1.10e44
,,8.59e44,3.95e43
,,5.84e44,4.84e43
,,2.07e45,7.69e43
,,1.41e45,5.23e43
,,3.38e44,3.12e43
,,9.04e44,3.34e43
,,1.32e43,5.22e43
,,2.89e44,8.75e43
,,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
