A,B,C,D
137.892281261,1.68733969474,2.66e45,2.35e44
113.125077775,1.56125200039,3.99e43,1.56e43
54.439426722,1.58575810983,3.69e44,1.90e44
65.5670991375,1.57660201579,3.47e45,1.28e43
100.51363346,1.80287523293,5.48e43,4.06e43
55.1077943166,1.59752955408,1.28e45,5.92e43
58.256014566,1.52164507808,6.45e44,4.22e43
78.3196616005,1.57333027497,9.77e43,8.90e43
98.9927310704,1.83582170866,3.95e44,4.37e43
115.243242005,4.1225647142,5.36e44,4.45343
95.6338371528,1.6227155221,2.81e43,5.23e43
61.5905216707,1.69966321546,2.01e45,3.7e44
69.1532994617,1.58450701137,8.19e45,7.33e44
48.8032223981,1.559463575,1.66e44,3.06e43
118.717210268,1.5647045039,7.28e44,5.35e43
76.505207695,1.91648972271,1.18e45,3.47e44
74.8451184065,1.65714167024,1.78e44,1.52e44
119.769265968,1.60993143342,1.57e45,3.99e44
55.4180079713,1.67752861046,2.07e45,4.85e44
72.1911134472,1.73293523868,1.48e45,1.82e44
145.332053433,4.05994820741,1.12e45,6.22e43
62.1153049999,1.96672498064,9.34e44,1.25e44
71.5749753947,1.4875647439,6.98e44,1.16e44
 69.3748437803,1.84135356649,4.11e44,1.82e44
12.1248537634,1.70323124989,4.19e45,5.80e44
66.4995663665,1.56303580282,2.81e44,1.44e44
110.468086319,1.62478207524,2.93e45,5.11e44
78.7000261908,2.04953708254,8.02e44,5.17e43
62.7696588985,1.73378524937,7.05e44,1.77e44
87.0233088102,1.55714805756,5.36e44,4.45e43
82.3594703137,1.58295410021,1.91e45,4.41e44
102.902357315,1.66269744723,8.01e43,8.02e43
79.1491046962,1.538557059,1.63e45,9.07e43
54.6850243077,2.10381929222,1.32e45,3.76e44
111.662575099,1.45779134991,1.01e45,5.54e43
76.0111215997,1.957853525,6.82e44,3.90e44
52.0071366377,1.65917843955,1.58e44,3.66e43
83.4411403466,1.8157125405,4.69e44,2.25e44
99.105383611,1.55039709422,6.73e44,6.35e44
106.255932539,2.13224137735,1.19e44,1.81e44
59.6783602532,1.7325659229,8.45e44,4.69e43
72.2080547176,1.47519423108,2.03e45,3.18e44
97.8211674245,1.59154332506,2.26e44,2.27e44
59.1533509428,1.60702398667,9.33e44,9.22e43
134.099304963,2.36826433428,1.98e45,1.96e44
55.6600154623,1.53622334412,4.85e45,5.90e44
100.659644711,1.69861142558,2.94e44,1.17e44
99.6157107185,1.69240266477,3.45e44,1.09e44
282.225265903,1.70559322042,7.25e44,2.72e44
120.142104175,1.6052452699,1.59e45,1.18e44
88.7141289059,1.67618640487,3.34e45,1.23e44
91.6930471254,1.5813579234,1.19e45,2.87e44
104.287969619,1.51553701041,1.52e44,3.65e43
67.2316410418,1.51523983043,9.22e45,4.57e44
58.8887055843,1.71336741702,1.47e45,1.37e44
86.7136049305,1.5447962516,2.43e44,2.69e43
106.992710496,1.5881027664,3.99e45,6.26e44
68.9302115483,1.5917767933,1.34e46,1.15e45
63.2503517654,1.5301983479,2.24e44,3.72e43
83.3622420637,1.58921476245,1.83e45,2.75e44
111.650328778,1.7934407288,1.83e45,8.44e43
76.9655180822,1.57666155166,1.57e45,7.28e43
206.893463754,1.51154937408,3.47e45,9.61e43
78.3509420887,1.72038407875,4.96e44,9.64e43
79.9719786504,1.48613997155,2.89e44,7.87e43
89.7746871417,1.57082948829,1.76e45,1.63e44
56.8560546088,1.61330753487,1.18e45,5.45e43
67.9785918856,2.35148177254,1.82e44,3.36e43
57.4701995168,1.6405857098,5.56e44,5.12e43
 63.9961046763,1.5703173142,9.08e44,5.85e43
81.4403776604,1.58988918772,5.44e44,1.10e44
57.3919622716,1.75637226024,8.59e44,3.95e43
67.0726038078,1.53532835037,5.84e44,4.84e43
57.6498642928,1.37613940167,2.07e45,7.69e43
101.685505133,1.70323025064,1.41e45,5.23e43
36.8626229408,1.72920719066,3.38e44,3.12e43
120.631784585,1.55743095034,9.04e44,3.34e43
108.378964508,1.52277324306,1.32e43,5.22e43
57.7352500899,1.64535674565,2.89e44,8.75e43
83.2567503558,1.38368234633,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
