A,B,C,D
1.04163601691,0.22042737273,2.66e45,2.35e44
1.02280068781,0.219710404083,3.99e43,1.56e43
1.11577830444,0.18867848912,3.69e44,1.90e44
0.917479121549,0.147811524494,3.47e45,1.28e43
0.877315078445,0.139782758144,5.48e43,4.06e43
1.07806314462,0.183952499381,1.28e45,5.92e43
1.11613504342,0.233200980105,6.45e44,4.22e43
1.05821778132,0.174786526307,9.77e43,8.90e43
1.02906553582,0.233263978086,3.95e44,4.37e43
1.05153540311,0.220946911038,5.36e44,4.45343
1.14303486952,0.248953765932,2.81e43,5.23e43
1.04260628676,0.206833947591,2.01e45,3.7e44
1.54887349708,0.291250603872,8.19e45,7.33e44
1.18360475281,0.200556557997,1.66e44,3.06e43
0.983895618097,0.2058599474,7.28e44,5.35e43
1.13280024497,0.227668191355,1.18e45,3.47e44
1.06878173581,0.213455324012,1.78e44,1.52e44
1.14703363385,0.258068989548,1.57e45,3.99e44
1.06711122747,0.221361531082,2.07e45,4.85e44
1.0253953447,0.177641746192,1.48e45,1.82e44
0.975373902875,0.191976468778,1.12e45,6.22e43
1.31976548297,0.263715121485,9.34e44,1.25e44
1.17078146313,0.217546856384,6.98e44,1.16e44
1.08968187276,0.265879485993,4.11e44,1.82e44
1.03536198987,0.226670444547,4.19e45,5.80e44
1.16644287301,0.212098594295,2.81e44,1.44e44
1.04316080903,0.221156161316,2.93e45,5.11e44
1.06511253978,0.219614406462,8.02e44,5.17e43
0.932865182723,0.157138531293,7.05e44,1.77e44
1.36700281895,0.218895451296,5.36e44,4.45e43
1.01332440069,0.216413420236,1.91e45,4.41e44
1.01108678469,0.244482513085,8.01e43,8.02e43
1.05875170738,0.251082558681,1.63e45,9.07e43
 1.15774602133,0.182576015825,1.32e45,3.76e44
1.07506306092,0.206498715978,1.01e45,5.54e43
0.993599542019,0.164969935412,6.82e44,3.90e44
1.07156791311,0.252970546625,1.58e44,3.66e43
1.10260109872,0.193124183751,4.69e44,2.25e44
1.08373695567,0.193991298049,6.73e44,6.35e44
0.945393002938,0.155725348404,1.19e44,1.81e44
1.19946441937,0.242972940368,8.45e44,4.69e43
1.09233134387,0.271356167261,2.03e45,3.18e44
1.27768152117,0.235427232935,2.26e44,2.27e44
1.18646862398,0.21407839627,9.33e44,9.22e43
1.08131800229,0.243986545692,1.98e45,1.96e44
1.23994330692,0.193203872707,4.85e45,5.90e44
1.14351333711,0.21181516035,2.94e44,1.17e44
1.45795465882,0.27558652217,3.45e44,1.09e44
1.55814938758,0.258640249537,7.25e44,2.72e44
1.04171337855,0.229272016708,1.59e45,1.18e44
1.2318185096,0.18438326571,3.34e45,1.23e44
1.25444719295,0.216301457843,1.19e45,2.87e44
1.15267002146,0.248104863813,1.52e44,3.65e43
1.3840445266,0.27466194849,9.22e45,4.57e44
1.00638346992,0.198704345471,1.47e45,1.37e44
1.13788468361,0.192103350624,2.43e44,2.69e43
0.916631164223,0.177174851265,3.99e45,6.26e44
1.15088938122,0.217249214361,1.34e46,1.15e45
1.08576210904,0.215460550887,2.24e44,3.72e43
1.18966237462,0.222907524637,1.83e45,2.75e44
1.20290709123,0.258735165519,1.83e45,8.44e43
1.13069305699,0.182901826723,1.57e45,7.28e43
1.0714183311,0.201580409911,3.47e45,9.61e43
1.39286082929,0.24435511729,4.96e44,9.64e43
1.21915092632,0.190007354389,2.89e44,7.87e43
1.17830602048,0.240485970963,1.76e45,1.63e44
1.16443701876,0.18808622003,1.18e45,5.45e43
1.21070765831,0.234096692809,1.82e44,3.36e43
1.46144089703,0.224961909864,5.56e44,5.12e43
1.28951731167,0.210674981805,9.08e44,5.85e43
1.13700003352,0.198824920957,5.44e44,1.10e44
1.07953174983,0.166118754875,8.59e44,3.95e43
1.33050347356,0.21782829773,5.84e44,4.84e43
0.852700151497,0.147776851151,2.07e45,7.69e43
1.22543211826,0.232511773286,1.41e45,5.23e43
1.1754856926,0.231534786169,3.38e44,3.12e43
1.11362551907,0.253561948236,9.04e44,3.34e43
1.00904840389,0.184410614128,1.32e43,5.22e43
1.13825246325,0.176201124543,2.89e44,8.75e43
1.1719403363,0.198774917171,6.62e44,2.14e44
1.2389774026,0.197371640405,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
