A,B,
1.13345738875,2.66e45,2.35e44
1.16052318765,3.99e43,1.56e43
1.06708345162,3.69e44,1.90e44
1.1672572262,3.47e45,1.28e43
1.14795918031,5.48e43,4.06e43
1.2940090706,1.28e45,5.92e43
1.62376648863,6.45e44,4.22e43
1.2778306553,9.77e43,8.90e43
1.1119743243,3.95e44,4.37e43
1.06381018063,5.36e44,4.45343
1.13806407125,2.81e43,5.23e43
1.37160966651,2.01e45,3.7e44
0.981415400281,8.19e45,7.33e44
1.0246171503,1.66e44,3.06e43
0.968373406051,7.28e44,5.35e43
1.32811840799,1.18e45,3.47e44
1.229618093,1.78e44,1.52e44
1.28735907722,1.57e45,3.99e44
0.997682223615,2.07e45,4.85e44
1.29720771874,1.48e45,1.82e44
1.00573558227,1.12e45,6.22e43
1.12690159146,9.34e44,1.25e44
1.09473861417,6.98e44,1.16e44
1.44165846899,4.11e44,1.82e44
0.985915794672,4.19e45,5.80e44
1.12989940845,2.81e44,1.44e44
1.11131138065,2.93e45,5.11e44
1.16185783528,8.02e44,5.17e43
1.21852846141,7.05e44,1.77e44
1.12679912579,5.36e44,4.45e43
1.0546270742,1.91e45,4.41e44
1.10785408625,8.01e43,8.02e43
0.97472877882,1.63e45,9.07e43
1.10719646621,1.32e45,3.76e44
1.14793650707,1.01e45,5.54e43
0.909839281267,6.82e44,3.90e44
1.15996223133,1.58e44,3.66e43
1.18865065267,4.69e44,2.25e44
1.40206807511,6.73e44,6.35e44
1.22065532472,1.19e44,1.81e44
1.10241688045,8.45e44,4.69e43
1.10173060477,2.03e45,3.18e44
1.32393935684,2.26e44,2.27e44
1.33943900266,9.33e44,9.22e43
1.05160780638,1.98e45,1.96e44
1.36265985496,4.85e45,5.90e44
0.974800617833,2.94e44,1.17e44
1.15093350474,3.45e44,1.09e44
1.23736992651,7.25e44,2.72e44
1.30710215186,1.59e45,1.18e44
1.34345273727,3.34e45,1.23e44
1.29645115531,1.19e45,2.87e44
1.05885898211,1.52e44,3.65e43
1.13677048425,9.22e45,4.57e44
0.908401418727,1.47e45,1.37e44
1.15062890458,2.43e44,2.69e43
1.13582456621,3.99e45,6.26e44
1.33723138949,1.34e46,1.15e45
1.04333698531,2.24e44,3.72e43
1.29848306969,1.83e45,2.75e44
1.50178519214,1.83e45,8.44e43
1.26421674412,1.57e45,7.28e43
1.12139701725,3.47e45,9.61e43
1.25409781583,4.96e44,9.64e43
1.3858887941,2.89e44,7.87e43
0.975498953288,1.76e45,1.63e44
1.19949226184,1.18e45,5.45e43
1.22875135867,1.82e44,3.36e43
1.31004723633,5.56e44,5.12e43
1.27687774018,9.08e44,5.85e43
1.1579840566,5.44e44,1.10e44
1.25584937721,8.59e44,3.95e43
1.69277692418,5.84e44,4.84e43
1.39348133971,2.07e45,7.69e43
1.17312881676,1.41e45,5.23e43
1.2867679508,3.38e44,3.12e43
1.1149761799,9.04e44,3.34e43
1.2390876376,1.32e43,5.22e43
1.23997634255,2.89e44,8.75e43
1.50939034106,6.62e44,2.14e44
1.31635831744,4.59e44,4.64e43
1.28875587569,2.73e44,3.28e43
0.968653530765,1.01e45,5.65e43
1.07768391547,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
