A,B,C
1.14223878456,2.66e45,2.35e44
1.05205419057,3.99e43,1.56e43
1.15330669987,3.69e44,1.90e44
1.21488028496,3.47e45,1.28e43
1.41006183022,5.48e43,4.06e43
1.16117900995,1.28e45,5.92e43
1.00754699266,6.45e44,4.22e43
0.940961400031,9.77e43,8.90e43
1.02884962705,3.95e44,4.37e43
1.06381018063,5.36e44,4.45343
1.13806407125,2.81e43,5.23e43
1.37160966651,2.01e45,3.7e44
0.981415400281,8.19e45,7.33e44
1.0246171503,1.66e44,3.06e43
0.968373406051,7.28e44,5.35e43
1.32811840799,1.18e45,3.47e44
1.229618093,1.78e44,1.52e44
1.28735907722,1.57e45,3.99e44
0.997682223615,2.07e45,4.85e44
1.18420033544,1.48e45,1.82e44
0.893697088021,1.12e45,6.22e43
1.0672705455,9.34e44,1.25e44
1.18510105143,6.98e44,1.16e44
1.09969918868,4.11e44,1.82e44
1.1319692001,4.19e45,5.80e44
1.13066098211,2.81e44,1.44e44
1.03658872646,2.93e45,5.11e44
0.992304511758,8.02e44,5.17e43
1.65234693889,7.05e44,1.77e44
1.00397283855,5.36e44,4.45e43
1.11391895749,1.91e45,4.41e44
0.955072487652,8.01e43,8.02e43
1.2386614794,1.63e45,9.07e43
1.17387373657,1.32e45,3.76e44
1.16788445817,1.01e45,5.54e43
1.08343765058,6.82e44,3.90e44
0.968858570309,1.58e44,3.66e43
1.17209177412,4.69e44,2.25e44
1.19640263272,6.73e44,6.35e44
1.00841393741,1.19e44,1.81e44
1.04433129949,8.45e44,4.69e43
1.096581643,2.03e45,3.18e44
1.17528033527,2.26e44,2.27e44
1.13154554832,9.33e44,9.22e43
0.940458587979,1.98e45,1.96e44
1.04875054473,4.85e45,5.90e44
1.06393077714,2.94e44,1.17e44
0.175208105766,3.45e44,1.09e44
1.35488315135,7.25e44,2.72e44
1.30744766822,1.59e45,1.18e44
0.894293620651,3.34e45,1.23e44
1.10592798769,1.19e45,2.87e44
1.19782488426,1.52e44,3.65e43
1.05395191733,9.22e45,4.57e44
1.17178053799,1.47e45,1.37e44
1.12407154557,2.43e44,2.69e43
1.13074656135,3.99e45,6.26e44
1.12197291794,1.34e46,1.15e45
1.34799013232,2.24e44,3.72e43
1.11164606686,1.83e45,2.75e44
1.43438496008,1.83e45,8.44e43
1.16109972755,1.57e45,7.28e43
1.31800639345,3.47e45,9.61e43
1.10483146083,4.96e44,9.64e43
1.27889160295,2.89e44,7.87e43
1.0816700902,1.76e45,1.63e44
1.0050569339,1.18e45,5.45e43
1.13297381772,1.82e44,3.36e43
1.35946242157,5.56e44,5.12e43
0.998601091862,9.08e44,5.85e43
1.24735296965,5.44e44,1.10e44
1.09847748781,8.59e44,3.95e43
0.990140387898,5.84e44,4.84e43
1.0164242008,2.07e45,7.69e43
1.283346731,1.41e45,5.23e43
1.34656589745,3.38e44,3.12e43
1.45336178837,9.04e44,3.34e43
1.35904378903,1.32e43,5.22e43
1.24172265454,2.89e44,8.75e43
1.28938771792,6.62e44,2.14e44
1.08415240569,4.59e44,4.64e43
1.32333456353,2.73e44,3.28e43
1.12498030023,1.01e45,5.65e43
1.19328175285,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
