A,B,C,D
1.19585864705,0.196453056999,2.66e45,2.35e44
1.17050632212,0.205177006929,3.99e43,1.56e43
1.03201328106,0.157972473099,3.69e44,1.90e44
0.917479121549,0.147811524494,3.47e45,1.28e43
0.877315078445,0.139782758144,5.48e43,4.06e43
0.888913731108,0.15097377382,1.28e45,5.92e43
0.958356262121,0.17008738134,6.45e44,4.22e43
1.05762410005,0.184330531917,9.77e43,8.90e43
1.1882577363,0.212090187908,3.95e44,4.37e43
1.1114641908,0.211525352804,5.36e44,4.45343
1.14255946334,0.174296515098,2.81e43,5.23e43
1.05021008072,0.157642099089,2.01e45,3.7e44
1.10785602703,0.187166633238,8.19e45,7.33e44
1.01555057619,0.228233383989,1.66e44,3.06e43
1.81337663913,0.170738689722,7.28e44,5.35e43
1.19906859494,0.245034023429,1.18e45,3.47e44
1.33338290193,0.231781100872,1.78e44,1.52e44
1.06711122747,0.221361531082,1.57e45,3.99e44
1.17218063822,0.187057516694,2.07e45,4.85e44
1.0988616282,0.171581859537,1.48e45,1.82e44
1.06965663464,0.177250878972,1.12e45,6.22e43
1.59146396481,0.196850244703,9.34e44,1.25e44
1.02758500853,0.168793139619,6.98e44,1.16e44
1.38876840048,0.216629961108,4.11e44,1.82e44
1.0657064761,0.189084243589,4.19e45,5.80e44
1.06565343506,0.172125079547,2.81e44,1.44e44
0.986571566991,0.154195771457,2.93e45,5.11e44
1.08833402129,0.171202159536,8.02e44,5.17e43
1.07534232084,0.206716658532,7.05e44,1.77e44
1.00001414253,0.167049102885,5.36e44,4.45e43
1.29169984043, 0.211962942369,1.91e45,4.41e44
1.14307359356,0.177455367401,8.01e43,8.02e43
0.979908337446,0.170114580576,1.63e45,9.07e43
0.953380644787,0.163207248408,1.32e45,3.76e44
1.18646862398,0.21407839627,1.01e45,5.54e43
1.047981936,0.173505322542,6.82e44,3.90e44
1.05633605166,0.188900194454,1.58e44,3.66e43
0.985304909456,0.158261335119,4.69e44,2.25e44
0.971688642531,0.155236956984,6.73e44,6.35e44
1.06001499442,0.216277920622,1.19e44,1.81e44
1.28501627548,0.191553250011,8.45e44,4.69e43
1.24538954925,0.211268758134,2.03e45,3.18e44
1.17250356879,0.221525005481,2.26e44,2.27e44
1.22476546025,0.206211363932,9.33e44,9.22e43
1.2038436331,0.201547209238,1.98e45,1.96e44
0.958807714702,0.161207179258,4.85e45,5.90e44
1.0978766549,0.205802345496,2.94e44,1.17e44
1.06112741519, 0.170846737651,3.45e44,1.09e44
1.16919265053,0.191901465541,7.25e44,2.72e44
1.14021268338,0.186986524146,1.59e45,1.18e44
1.15362955373,0.197779312622,3.34e45,1.23e44
1.01981145928,0.167032795561,1.19e45,2.87e44
1.21811266197,0.176875255589,1.52e44,3.65e43
1.04228300743,0.152110659291,9.22e45,4.57e44
0.983772885126,0.176893696563,1.47e45,1.37e44
0.861551541793,0.134386781,2.43e44,2.69e43
1.03613269198,0.17153533149,3.99e45,6.26e44
0.929713148421,0.145563185651,1.34e46,1.15e45
1.13013650642,0.176662005896,2.24e44,3.72e43
1.33872566972,0.198613741471,1.83e45,2.75e44
0.94659681911,0.161832559682,1.83e45,8.44e43
0.988480129195,0.163861044435,1.57e45,7.28e43
0.88642083065,0.137408608395,3.47e45,9.61e43
0.946382929748,0.177764764599,4.96e44,9.64e43
1.12602771111,0.220954156018,2.89e44,7.87e43
1.03209112604,0.187492987544,1.76e45,1.63e44
1.16088088344,0.194522014737,1.18e45,5.45e43
0.993321362964,0.153456826627,1.82e44,3.36e43
1.04374618299,0.162103606431,5.56e44,5.12e43
1.08258722718,0.167038786966,9.08e44,5.85e43
,,5.44e44,1.10e44
,,8.59e44,3.95e43
,,5.84e44,4.84e43
,,2.07e45,7.69e43
,,1.41e45,5.23e43
,,3.38e44,3.12e43
,,9.04e44,3.34e43
,,1.32e43,5.22e43
,,2.89e44,8.75e43
,,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
