A,B,C
1.12866523022,2.66e45,2.35e44
0.928673738472,3.99e43,1.56e43
1.12835548627,3.69e44,1.90e44
1.29158043963,3.47e45,1.28e43
0.993959814838,5.48e43,4.06e43
1.24845742225,1.28e45,5.92e43
1.29594796902,6.45e44,4.22e43
1.22100739278,9.77e43,8.90e43
1.11023864794,3.95e44,4.37e43
1.33194931132,5.36e44,4.45343
1.1594099498,2.81e43,5.23e43
1.0937785169,2.01e45,3.7e44
1.08782048375,8.19e45,7.33e44
1.26499572001,1.66e44,3.06e43
1.00895043947,7.28e44,5.35e43
1.14121133635,1.18e45,3.47e44
1.16943901465,1.78e44,1.52e44
1.17662985288,1.57e45,3.99e44
1.18910319939,2.07e45,4.85e44
1.1262447864,1.48e45,1.82e44
1.17780592803,1.12e45,6.22e43
1.34242709176,9.34e44,1.25e44
1.06983321607,6.98e44,1.16e44
1.96211749034,4.11e44,1.82e44
0.976220921667,4.19e45,5.80e44
1.59759428007,2.81e44,1.44e44
1.16018306453,2.93e45,5.11e44
1.3213202511,8.02e44,5.17e43
1.09149226702,7.05e44,1.77e44
1.11412580137,5.36e44,4.45e43
1.09574089057,1.91e45,4.41e44
0.938317239344,8.01e43,8.02e43
1.30423757635,1.63e45,9.07e43
1.23957468149,1.32e45,3.76e44
1.07622393342,1.01e45,5.54e43
1.11115597729,6.82e44,3.90e44
1.306288689,1.58e44,3.66e43
1.00841393741,4.69e44,2.25e44
1.26681225857,6.73e44,6.35e44
1.00804719016,1.19e44,1.81e44
1.10357386,8.45e44,4.69e43
1.1489178586,2.03e45,3.18e44
1.20784854575,2.26e44,2.27e44
1.05906104277,9.33e44,9.22e43
1.06528808362,1.98e45,1.96e44
1.13924246185,4.85e45,5.90e44
0.955395505252,2.94e44,1.17e44
1.31562783817,3.45e44,1.09e44
0.874351094626,7.25e44,2.72e44
0.988731671124,1.59e45,1.18e44
1.13024094886,3.34e45,1.23e44
1.2422931797,1.19e45,2.87e44
0.994617882006,1.52e44,3.65e43
1.03341029903,9.22e45,4.57e44
0.919749316974,1.47e45,1.37e44
1.09934163531,2.43e44,2.69e43
1.25570749915,3.99e45,6.26e44
0.998567756096,1.34e46,1.15e45
1.13093229008,2.24e44,3.72e43
1.11406249392,1.83e45,2.75e44
1.09678917217,1.83e45,8.44e43
1.01699258459,1.57e45,7.28e43
1.2697492739,3.47e45,9.61e43
1.16189246042,4.96e44,9.64e43
1.06221649507,2.89e44,7.87e43
1.12240840348,1.76e45,1.63e44
1.19260902178,1.18e45,5.45e43
1.17729438555,1.82e44,3.36e43
1.13133355637,5.56e44,5.12e43
1.08786433149,9.08e44,5.85e43
1.06003245409,5.44e44,1.10e44
0.951157588676,8.59e44,3.95e43
1.14375004984,5.84e44,4.84e43
1.36569455573,2.07e45,7.69e43
1.11357478542,1.41e45,5.23e43
1.19540474932,3.38e44,3.12e43
1.07226458657,9.04e44,3.34e43
1.02713490008,1.32e43,5.22e43
1.10392566291,2.89e44,8.75e43
,6.62e44,2.14e44
,4.59e44,4.64e43
,2.73e44,3.28e43
,1.01e45,5.65e43
,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
