A,B,C,D
0.020373829875,0.217541980094,2.66e45,2.35e44
0.0191466326844,0.245627662939,3.99e43,1.56e43
0.000346796021967,0.00731336964878,3.69e44,1.90e44
1.53999685612e-05,0.018346185276,3.47e45,1.28e43
0.204625378576,0.424457189608,5.48e43,4.06e43
0.000169923222468,0.00305527901916,1.28e45,5.92e43
0.00695279144252,0.503600459033,6.45e44,4.22e43
0.00013332512667,0.00519442464067,9.77e43,8.90e43
0.0677639922425,0.49636392671,3.95e44,4.37e43
0.0216251268867,0.227339608489,5.36e44,4.45343
0.0226656098974,0.368844573558,2.81e43,5.23e43
0.00168202898565,0.298337873025,2.01e45,3.7e44
0.000366438854574,0.17458054161,8.19e45,7.33e44
0.000276953031237,0.0241349458468,1.66e44,3.06e43
0.015655878293,0.249361486993,7.28e44,5.35e43
0.0122024673683,0.240846518151,1.18e45,3.47e44
0.0326355914492,0.481252355821,1.78e44,1.52e44
0.000576289834129,0.196041556616,1.57e45,3.99e44
0.00833948631846,0.322689176105,2.07e45,4.85e44
7.94588458291e-05,0.0188166829918,1.48e45,1.82e44
0.0108471127711,0.288358929484,1.12e45,6.22e43
1.10905947522e-06,0.0782695246194,9.34e44,1.25e44
0.000352289997599,0.14674146251,6.98e44,1.16e44
0.000276953031237,0.0241349458468,4.11e44,1.82e44
0.015655878293,0.249361486993,4.19e45,5.80e44
0.0122024673683,0.240846518151,2.81e44,1.44e44
0.0326355914492,0.481252355821,2.93e45,5.11e44
0.000576289834129,0.196041556616,8.02e44,5.17e43
0.00833948631846,0.322689176105,7.05e44,1.77e44
7.94588458291e-05,0.0188166829918,5.36e44,4.45e43
0.0108471127711,0.288358929484,1.91e45,4.41e44
1.10905947522e-06,0.0782695246194,8.01e43,8.02e43
0.000352289997599,0.14674146251,1.63e45,9.07e43
0.0618574827414,0.375655548384,1.32e45,3.76e44
6.50594124686e-06,52.8114398113,1.01e45,5.54e43
8.50596620144e-05,0.124474716717,6.82e44,3.90e44
0.0200806675851,0.370138710713,1.58e44,3.66e43
0.0457229792057,0.553968527533,4.69e44,2.25e44
0.000944329863002,0.0921274251345,6.73e44,6.35e44
2.24848289877e-05,0.0793025090485,1.19e44,1.81e44
0.00611809706566,0.242572461474,8.45e44,4.69e43
0.0163074982338,0.198728122015,2.03e45,3.18e44
0.0265172313009,0.416875901881,2.26e44,2.27e44
2.96226877163e-05,0.0554535423327,9.33e44,9.22e43
7.03180459488e-17,0.0305428818038,1.98e45,1.96e44
0.000474942806418,0.0229063301316,4.85e45,5.90e44
4.05699044045e-27,0.160533312115,2.94e44,1.17e44
0.000139513783677,0.0138501179868,3.45e44,1.09e44
0.00128909969689,0.0729209349878,7.25e44,2.72e44
0.000114031621472,0.0413861933483,1.59e45,1.18e44
0.00133753492437,0.207304492574,3.34e45,1.23e44
0.009586942583,0.0405561787974,1.19e45,2.87e44
0.00402945589717,0.171718831808,1.52e44,3.65e43
5.95115559289e-05,0.0046163841258,9.22e45,4.57e44
0.0419536875344,0.503134903969,1.47e45,1.37e44
0.000145967646896,0.0663326707761,2.43e44,2.69e43
9.38620616549e-05,0.0356857639514,3.99e45,6.26e44
0.000202131397154,0.186114171701,1.34e46,1.15e45
46.1817112095,3122.44300096,2.24e44,3.72e43
0.000789208499122,0.00308975168193,1.83e45,2.75e44
2.00530563333e-05,0.00955184111756,1.83e45,8.44e43
0.000238245168913,0.128398292458,1.57e45,7.28e43
0.0132537500166,0.33650984226,3.47e45,9.61e43
0.000106979382692,0.00940052038028,4.96e44,9.64e43
0.000894745883303,0.188043612838,2.89e44,7.87e43
0.000807980816298,0.0738793722886,1.76e45,1.63e44
0.0249595137268,0.365844259609,1.18e45,5.45e43
0.0246434234795,0.354930806315,1.82e44,3.36e43
0.0115853916747,0.340925580753,5.56e44,5.12e43
0.00123635452242,0.202624606864,9.08e44,5.85e43
0.00382061338865,0.294283858489,5.44e44,1.10e44
0.000450773264272,0.0476425700887,8.59e44,3.95e43
0.00368803905618,0.222806502763,5.84e44,4.84e43
0.0132511360081,0.203399846481,2.07e45,7.69e43
3.74419299529e-05,0.00875356515631,1.41e45,5.23e43
0.00504694095123,0.433145675127,3.38e44,3.12e43
2.07971250865e-05,0.00841295748383,9.04e44,3.34e43
0.00384314209595,0.0676286986325,1.32e43,5.22e43
0.000473641551708,0.123753520418,2.89e44,8.75e43
0.000125032016091,0.0191407636472,6.62e44,2.14e44
0.00188642806583,0.286180836181,4.59e44,4.64e43
1.95898946709e-05,0.00333937289289,2.73e44,3.28e43
0.000645536160613,0.0492758332137,1.01e45,5.65e43
0.000796750650374,0.145884296577,2.20e45,8.13e43
0.0135674767944,0.378377605404,4.22e44,1.78e44
0.0309169592669,0.389985648632,5.85e43,7.93e43
0.0250063196764,0.768520235096,5.17e44,1.31e44
0.000611809350723,0.0211870287341,3.41e45,1.42e44
1.93416550962e-05,0.0247310858188,1.07e45,5.97e43
0.000458683619503,0.110792884909,1.48e45,1.32e44
5.0743140552e-05,0.0458915832489,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
