A,B,C,D
0.0206954110132,0.179094379649,2.66e45,2.35e44
0.011340595454,0.277104396005,3.99e43,1.56e43
4.67528283702e-05,0.00665972523009,3.69e44,1.90e44
3.30648898629e-05,0.0204017560738,3.47e45,1.28e43
3.93595730331e-30,0.210971213479,5.48e43,4.06e43
3.88282630693e-05,0.000767768849392,1.28e45,5.92e43
0.000131123843885,0.199589198156,6.45e44,4.22e43
6.25613683721e-05,0.00201615190137,9.77e43,8.90e43
0.0390724399868,0.283571151899,3.95e44,4.37e43
0.0246227312706,1.10423151056,5.36e44,4.45343
0.0988809348774,0.168145233327,2.81e43,5.23e43
0.000257289978753,0.147434435707,2.01e45,3.7e44
4.45445023901e-05,0.119743481595,8.19e45,7.33e44
0.00142644124368,0.160932610737,1.66e44,3.06e43
0.0305414592448,0.336712506059,7.28e44,5.35e43
0.0015968869065,0.189111974484,1.18e45,3.47e44
0.0316973591063,0.307179490639,1.78e44,1.52e44
4.91167123712e-05,0.0474639477655,1.57e45,3.99e44
2.75298370918e-05,0.0666275631411,2.07e45,4.85e44
4.29713007715e-05,0.0233503971697,1.48e45,1.82e44
2.2014169838e-05,0.000747649636678,1.12e45,6.22e43
1.16358970183e-05,0.0370321042869,9.34e44,1.25e44
2.72665318295e-25,0.0836501805312,6.98e44,1.16e44
0.000452389792835,0.0912262477106,4.11e44,1.82e44
0.000316797653741,0.0930838675132,4.19e45,5.80e44
1.75140147391e-26,0.0493218599528,2.81e44,1.44e44
5.22103500543e-05,0.146278056844,2.93e45,5.11e44
0.0321375539925,0.20738018126,8.02e44,5.17e43
0.0048606472337,0.326680475881,7.05e44,1.77e44
0.000756022367237,0.169525824375,5.36e44,4.45e43
6.58108360348e-43,0.350990925408,1.91e45,4.41e44
4.82196810892e-05,0.052662079707,8.01e43,8.02e43
2.9659775715e-06,0.0236769682994,1.63e45,9.07e43
7.05486504882e-05,0.0761192762346,1.32e45,3.76e44
4.90476721871e-20,0.0203518971138,1.01e45,5.54e43
0.000191837581438,0.0255344438291,6.82e44,3.90e44
0.00140592898666,0.0394191705,1.58e44,3.66e43
0.000318205273746,0.0298738574455,4.69e44,2.25e44
1.00458692572e-23,0.0990672792922,6.73e44,6.35e44
2.31262828383e-05,0.0150143523268,1.19e44,1.81e44
0.000131710644728,0.0732658577306,8.45e44,4.69e43
0.000116581614985,0.119762990239,2.03e45,3.18e44
1.91888206496e-05,0.022542379797,2.26e44,2.27e44
9.94965221943e-05,0.00870698226728,9.33e44,9.22e43
2.03269172061e-05,0.0400765106093,1.98e45,1.96e44
0.00373974611153,0.0470804546693,4.85e45,5.90e44
1.82824158909,2.00666883617,2.94e44,1.17e44
2.98806962675e-05,0.176640288143,3.45e44,1.09e44
3.32533768341e-05,0.0507564571342,7.25e44,2.72e44
 1.88823145861e-05,0.0454671614259,1.59e45,1.18e44
3.76907871093,1395.36101974,3.34e45,1.23e44
0.0282929913924,0.0411005111391,1.19e45,2.87e44
4.2797805084e-05,0.0300825279078,1.52e44,3.65e43
0.0181978485038,0.254512884396,9.22e45,4.57e44
0.0111909557218,0.493437088435,1.47e45,1.37e44
0.000707565154714,0.261584635232,2.43e44,2.69e43
4.52467194815e-05,0.0444906173211,3.99e45,6.26e44
0.00494280054621,0.282677047117,1.34e46,1.15e45
0.00305250243543,0.236876039385,2.24e44,3.72e43
8.98629984011e-05,0.0761805450626,1.83e45,2.75e44
0.0010289194008,0.205176042837,1.83e45,8.44e43
2.65444419268e-05,0.0227046115372,1.57e45,7.28e43
0.00119959865715,0.128398650696,3.47e45,9.61e43
0.0001776642384,0.123897800419,4.96e44,9.64e43
3.15249532586e-05,0.0437643723836,2.89e44,7.87e43
0.000505723213754,0.174930918023,1.76e45,1.63e44
2.19349780683e-28,0.319889046258,1.18e45,5.45e43
0.0364072982934,0.426929143731,1.82e44,3.36e43
0.000141857344951,0.0676956913174,5.56e44,5.12e43
8.30114794711e-05,0.0219871797608,9.08e44,5.85e43
0.0133617396855,0.327600362217,5.44e44,1.10e44
6.18956304688e-05,0.0108356051512,8.59e44,3.95e43
0.00768312277818,0.361246429752,5.84e44,4.84e43
0.000213030882021,0.018606902366,2.07e45,7.69e43
6.63833561982e-05,0.0476356158946,1.41e45,5.23e43
4.5012831822e-05,0.0340942460829,3.38e44,3.12e43
0.0010377745752,0.205153557228,9.04e44,3.34e43
2.11766895849e-12,0.463506380382,1.32e43,5.22e43
0.000336062361655,0.207576522302,2.89e44,8.75e43
0.00027229209974,0.100483375527,6.62e44,2.14e44
0.0198448350914,0.286694737204,4.59e44,4.64e43
0.00648540308411,0.38457468741,2.73e44,3.28e43
0.014508764919,0.1692012046,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
