A,B,C,D
0.000240030502245,0.0492293210518,2.66e45,2.35e44
0.00993675186838,0.466189285457,3.99e43,1.56e43
9.76313891168e-06,0.00242981013421,3.69e44,1.90e44
6.29309828851e-06,0.0138416715124,3.47e45,1.28e43
0.000146408353168,0.0741227431978,5.48e43,4.06e43
3.88282630693e-05,0.000767768849392,1.28e45,5.92e43
0.000131123843885,0.199589198156,6.45e44,4.22e43
6.25613683721e-05,0.00201615190137,9.77e43,8.90e43
0.0185304067499,0.23783222059,3.95e44,4.37e43
0.00771461031285,0.224451513062,5.36e44,4.45343
0.0242788339133,0.262688353464,2.81e43,5.23e43
2.44330920099e-06,0.00958175020106,2.01e45,3.7e44
0.000264168854186,0.117633826652,8.19e45,7.33e44
0.000458797932377,0.117058640125,1.66e44,3.06e43
0.00924481561125,0.233762122069,7.28e44,5.35e43
0.00211136651464,0.174080215988,1.18e45,3.47e44
0.0164331192413,0.411545395176,1.78e44,1.52e44
0.000292970054113,0.110451961064,1.57e45,3.99e44
4.40794317511e-05,0.0209680052858,2.07e45,4.85e44
1.10270341726e-05,0.00572876993055,1.48e45,1.82e44
0.0164364845212,0.108667233367,1.12e45,6.22e43
4.03608839246e-05,0.0274821266055,9.34e44,1.25e44
0.000169657237243,0.0194048625532,6.98e44,1.16e44
0.00076091897385,0.162789771759,4.11e44,1.82e44
0.00405439063164,0.275583139944,4.19e45,5.80e44
3.05114394367e-06,0.0512990008503,2.81e44,1.44e44
6.09260590968e-05,0.0157367284319,2.93e45,5.11e44
0.0646819090346,0.22213789407,8.02e44,5.17e43
8.42531860413e-05,0.193637493549,7.05e44,1.77e44
0.00028355033763,0.00028355033763,5.36e44,4.45e43
0.00209574669034,0.205957403754,1.91e45,4.41e44
7.86322701177e-05,0.0468108849921,8.01e43,8.02e43
3.46287390053e-06,0.0282372945269,1.63e45,9.07e43
5.87077527721e-05,0.0392098017022,1.32e45,3.76e44
3.28478055566e-07,0.00248363666347,1.01e45,5.54e43
0.000103983463165,0.0374923772717,6.82e44,3.90e44
1.26618815099e-17,0.0187657114428,1.58e44,3.66e43
0.000226191776161,0.0211100694802,4.69e44,2.25e44
1.03586422791e-05,0.0267795039952,6.73e44,6.35e44
0.000275838305866,0.0128171538469,1.19e44,1.81e44
2.28437894231e-05,0.00220203317434,8.45e44,4.69e43
1.90544515363e-05,0.00600982402519,2.03e45,3.18e44
7.56571075929e-06,0.00256260258913,2.26e44,2.27e44
0.00029912394796,0.121581350717,9.33e44,9.22e43
0.000312514614384,0.00478540921474,1.98e45,1.96e44
0.000200564763031,0.0135215554932,4.85e45,5.90e44
5.07811856561e-05,0.00175958577758,2.94e44,1.17e44
0.00219876705694,0.197086083774,3.45e44,1.09e44
3.064952876e-05,0.0801163295431,7.25e44,2.72e44
2.68846162643e-05,0.00547048859351,1.59e45,1.18e44
0.000103126285177,0.0224331567482,3.34e45,1.23e44
4.73193672312,78.5333291059,1.19e45,2.87e44
0.00540379243206,0.035642690221,1.52e44,3.65e43
2.89279817956e-05,0.00254266100273,9.22e45,4.57e44
0.0243417886446, 0.315894462258,1.47e45,1.37e44
0.00556983551163,0.289822201184,2.43e44,2.69e43
1.30284689428e-05,0.00128598791577,3.99e45,6.26e44
0.00153390301332,0.233375443914,1.34e46,1.15e45
0.0439345433937,0.576330486432,2.24e44,3.72e43
0.00314409075363,0.474179071623,1.83e45,2.75e44
0.000815132585671,0.140563441287,1.83e45,8.44e43
0.00170548451011, 0.244705326765,1.57e45,7.28e43
0.000105217456814,0.0103010682555,3.47e45,9.61e43
9.08652764744e-05,0.113935509889,4.96e44,9.64e43
0.0030870889246,0.18169457467,2.89e44,7.87e43
0.000226618434519,0.0433721575922,1.76e45,1.63e44
0.0041763252084,0.21658161962,1.18e45,5.45e43
2.72305517439e-05,0.0492270798514,1.82e44,3.36e43
0.0146326742884,0.354656712271,5.56e44,5.12e43
3.09721925015e-05,0.00568790033178,9.08e44,5.85e43
0.000470347931299,0.0237794130272,5.44e44,1.10e44
0.00239708775281,0.832287239758,8.59e44,3.95e43
2.97622982098e-05, 0.00521946733023,5.84e44,4.84e43
0.00859864802431,0.408295675421,2.07e45,7.69e43
6.10507128595e-05,0.0139240642482,1.41e45,5.23e43
6.57230481508e-05,0.00512834660679,3.38e44,3.12e43
0.000603910854035,0.106839775367,9.04e44,3.34e43
0.0112492608449,0.367318972014,1.32e43,5.22e43
0.0432445435581,0.46031012069,2.89e44,8.75e43
0.019907405249,0.916165230398,6.62e44,2.14e44
0.000153200292806,0.00368180979353,4.59e44,4.64e43
2.26555215732e-05,0.0274335746615,2.73e44,3.28e43
0.00849005106029,0.386608241212,1.01e45,5.65e43
0.000331500005814,0.204662706927,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
