A,B,C,D
6.49725796337e-05,0.00370712562636,2.66e45,2.35e44
0.00384668506534,0.25323547423,3.99e43,1.56e43
1.90244151591e-05,0.00363367818444,3.69e44,1.90e44
1.46565917582e-05,0.0120977565119,3.47e45,1.28e43
1.95916510827e-05,0.0061837933871,5.48e43,4.06e43
0.000285524572728,0.0442144157321,1.28e45,5.92e43
0.000837548999166,0.799201193072,6.45e44,4.22e43
0.00142789214727,0.0540429444559,9.77e43,8.90e43
0.00193219004926,0.266114322715,3.95e44,4.37e43
0.00217860696119,0.368536470238,5.36e44,4.45343
2.32744079022e-05,0.135987974824,2.81e43,5.23e43
4.56567293395e-06,0.0071073562658,2.01e45,3.7e44
9.23696260625e-05,0.196196677699,8.19e45,7.33e44
0.0303799984195,0.569091143092,1.66e44,3.06e43
0.000106653040178,0.19427261718,7.28e44,5.35e43
0.000248237731876,0.415535829355,1.18e45,3.47e44
0.00015401398495,0.206434202602,1.78e44,1.52e44
0.000769202764432,0.374508337025,1.57e45,3.99e44
2.7122507704e-05,0.0192471237004,2.07e45,4.85e44
5.17719644029e-06,0.0644215094659,1.48e45,1.82e44
9.95174578578e-05,0.111789471128,1.12e45,6.22e43
6.45578008834e-08,0.143307126282,9.34e44,1.25e44
0.0012371602294,0.243944516252,6.98e44,1.16e44
0.000137575590115,0.229583430369,4.11e44,1.82e44
0.00160845751386,0.32233381357,4.19e45,5.80e44
0.000634027835286,0.264675618528,2.81e44,1.44e44
8.5228740382e-05,0.0841747751068,2.93e45,5.11e44
4.79694968918e-05,0.238310733815,8.02e44,5.17e43
0.000358662272349,0.0935011135505,7.05e44,1.77e44
4.75631976052e-05,0.044674530427,5.36e44,4.45e43
8.80875473273e-05,0.161417334729,1.91e45,4.41e44
7.40430290483e-05,0.0393166508317,8.01e43,8.02e43
8.35898312527e-05,0.0887198048586,1.63e45,9.07e43
0.000393005065056,0.313196824241,1.32e45,3.76e44
0.000432420453922,0.0599897511993,1.01e45,5.54e43
0.000905654074845,0.0618063688271,6.82e44,3.90e44
0.000106509988531,0.00178296477351,1.58e44,3.66e43
0.00862490121859,0.69307137434,4.69e44,2.25e44
4.82090642851e-05,0.0669029896838,6.73e44,6.35e44
0.000454056772407,0.233314096346,1.19e44,1.81e44
2.06244696528e-11,0.22767871136,8.45e44,4.69e43
1.56828961992e-05,0.00692730295312,2.03e45,3.18e44
0.000250908942762,0.200567001015,2.26e44,2.27e44
0.0179894290283,0.442071987693,9.33e44,9.22e43
0.000488940037315,0.129277454437,1.98e45,1.96e44
0.000850945161441,0.375767973585,4.85e45,5.90e44
0.00010625633611,0.385286989916,2.94e44,1.17e44
0.00314409075363,0.474179071623,3.45e44,1.09e44
0.000392595909408,0.135559250171,7.25e44,2.72e44
0.00152913270517,0.477881260427,1.59e45,1.18e44
0.000151066218166,0.191706578967,3.34e45,1.23e44
0.000130086973338,0.172106975376,1.19e45,2.87e44
4.53456531278e-18,0.118160012136,1.52e44,3.65e43
0.00187944261981,0.294724237649,9.22e45,4.57e44
1.53245419866e-05,0.0398164708396,1.47e45,1.37e44
0.00658842679,0.326044431722,2.43e44,2.69e43
0.000448488695549,1.38651909624,3.99e45,6.26e44
1.38651909624,0.0362243109196,1.34e46,1.15e45
0.000163852069018,0.205258552847,2.24e44,3.72e43
1.74110607457e-05,0.108552336701,1.83e45,2.75e44
0.000160899957324,0.176639860847,1.83e45,8.44e43
7.46301730976e-05,0.0285287277556,1.57e45,7.28e43
0.001258294186,0.335849815606,3.47e45,9.61e43
0.000128878896255,0.0387868927566,4.96e44,9.64e43
0.00213442930034,0.695898648775,2.89e44,7.87e43
0.00439474030845,0.0777863414762,1.76e45,1.63e44
0.000130902008751,0.234076823195,1.18e45,5.45e43
0.000144920820451,0.0173974166874,1.82e44,3.36e43
0.000138178932672,0.342241871762,5.56e44,5.12e43
0.000846385707196,0.275068965601,9.08e44,5.85e43
0.000132672469016,0.105473655376,5.44e44,1.10e44
,,8.59e44,3.95e43
,,5.84e44,4.84e43
,,2.07e45,7.69e43
,,1.41e45,5.23e43
,,3.38e44,3.12e43
,,9.04e44,3.34e43
,,1.32e43,5.22e43
,,2.89e44,8.75e43
,,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
