A,B,C,D
8.49890792829e-05,0.0833040477313,2.66e45,2.35e44
5.15451849642e-05,0.0666649343197,3.99e43,1.56e43
6.0208686662e-05,0.183441152404,3.69e44,1.90e44
6.60587627288e-08,0.05388042316,3.47e45,1.28e43
1.90488964454e-05,0.206973443142,5.48e43,4.06e43
0.000106366108067,0.0186930011933,1.28e45,5.92e43
0.000100896567116,0.287839427702,6.45e44,4.22e43
3.07615563269e-05,0.0217800734812,9.77e43,8.90e43
0.00196746678947,0.280216584224,3.95e44,4.37e43
0.00260423958516,0.224694164819,5.36e44,4.45343
1.85959770786e-05,0.117266998638,2.81e43,5.23e43
2.4697882122e-05,0.0985667080024,2.01e45,3.7e44
3.20691294116e-05,0.0309091725388,8.19e45,7.33e44
0.00017383657745,0.066413434566,1.66e44,3.06e43
4.65512268969e-06,0.10808413105,7.28e44,5.35e43
0.000168008909129,0.355652225366,1.18e45,3.47e44
3.95844588943e-05,0.0974592433716,1.78e44,1.52e44
1.15772658236e-05,0.12990238362,1.57e45,3.99e44
1.0202839069e-05,0.160878201569,2.07e45,4.85e44
0.180506803005,0.147912507808,1.48e45,1.82e44
1.42033081285e-05,0.645919008955,1.12e45,6.22e43
8.15144154875e-06,0.110811471579,9.34e44,1.25e44
4.3341623209e-05,3.84139965563,6.98e44,1.16e44
4.49039197902e-05,13.6131690866,4.11e44,1.82e44
5.69005220375e-05,0.137679549841,4.19e45,5.80e44
2.23847748917e-05,0.0807874693172,2.81e44,1.44e44
1.32169064724e-05,0.204187876684,2.93e45,5.11e44
0.000820025213873,0.493655480315,8.02e44,5.17e43
5.48649023029e-05,0.220087617112,7.05e44,1.77e44
5.44776236973e-09,0.50429786541,5.36e44,4.45e43
 1.24529549385e-05,0.0874016854933,1.91e45,4.41e44
2.49004263397e-05,0.155039080876,8.01e43,8.02e43
3.37801156981e-05,0.265719802902,1.63e45,9.07e43
1.99244226699e-05,0.0259557069164,1.32e45,3.76e44
1.1457110823e-06,0.0158880251597,1.01e45,5.54e43
1.19734566186e-05,0.0957275642526,6.82e44,3.90e44
1.977425655e-13,0.218800155599,1.58e44,3.66e43
1.41526094616e-05,0.0252329538679,4.69e44,2.25e44
0.000188754495832,0.117565254954,6.73e44,6.35e44
1.60030873487e-05,0.157962006792,1.19e44,1.81e44
9.89558903825e-07,0.389069969019,8.45e44,4.69e43
3.3713680944e-05,0.0555195345115,2.03e45,3.18e44
6.53423744887e-05,0.127706799,2.26e44,2.27e44
3.51464017669e-05,0.00567475767408,9.33e44,9.22e43
0.000256674670945,0.340549965207,1.98e45,1.96e44
6.05864492728e-06,0.0939165313052,4.85e45,5.90e44
9.99576214825e-06,0.0523507651785,2.94e44,1.17e44
0.117436418829,1497.50452282,3.45e44,1.09e44
9.41149607808e-06,0.00741218454693,7.25e44,2.72e44
0.00060286631599,0.257108151348,1.59e45,1.18e44
0.00010269712687,0.0673630590546,3.34e45,1.23e44
3.09646047601e-05,0.0729407459292,1.19e45,2.87e44
0.000246872113776,0.238551906659,1.52e44,3.65e43
0.00170801595625,0.667608359803,9.22e45,4.57e44
4.07769626251e-05,0.0142090587117,1.47e45,1.37e44
0.00011314802227,0.111071426323,2.43e44,2.69e43
0.000498260906201,0.402165967584,3.99e45,6.26e44
5.41062978426e-05,0.114324648095,1.34e46,1.15e45
2.33111874643e-05,0.308876154912,2.24e44,3.72e43
0.000279332151491,0.144408602301,1.83e45,2.75e44
8.57031816857e-06,0.226646646934,1.83e45,8.44e43
0.000140751695726,0.0942384593224,1.57e45,7.28e43
1.73273913027e-05,1.66904785503,3.47e45,9.61e43
5.52274480878e-05,0.106326878394,4.96e44,9.64e43
3.33637501624e-05,0.0390653134553,2.89e44,7.87e43
6.20114868096e-05,0.0429853442958,1.76e45,1.63e44
0.000263977487567,0.290010386287,1.18e45,5.45e43
6.5376591632e-05,0.160363766996,1.82e44,3.36e43
7.34226297202e-05,0.141637037985,5.56e44,5.12e43
3.86754040566e-05,0.0113838197448,9.08e44,5.85e43
4.90404006445e-05,0.268951565288,5.44e44,1.10e44
0.000205964679124,0.204067218941,8.59e44,3.95e43
1.79831787669e-16,1.33211387236,5.84e44,4.84e43
0.00292475312458,0.272052787316,2.07e45,7.69e43
2.66519892773e-05,0.178662788519,1.41e45,5.23e43
5.92238095416e-06,0.00382917739282,3.38e44,3.12e43
1.90329929062e-05,0.061661015316,9.04e44,3.34e43
4.23401261348e-05,0.249341073528,1.32e43,5.22e43
1.72594343286e-07,0.44036104711,2.89e44,8.75e43
,,6.62e44,2.14e44
,,4.59e44,4.64e43
,,2.73e44,3.28e43
,,1.01e45,5.65e43
,,2.20e45,8.13e43
,,4.22e44,1.78e44
,,5.85e43,7.93e43
,,5.17e44,1.31e44
,,3.41e45,1.42e44
,,1.07e45,5.97e43
,,1.48e45,1.32e44
,,3.18e44,4.10e43
,,8.92e44,1.23e44
,,3.46e44,1.95e43
,,9.01e44,4.97e43
,,6.52e44,7.80e43
,,1.02e45,5.66e43
,,3.11e44,1.34e44
